             mu:           sigma        energy:
         1.31522         1.03264         3.02052
         1.31522         1.03264         11.3832
         1.31522         1.03264         15.8793
        0.948713          1.6143          5.2813
        0.948713          1.6143         7.86174
        0.629522         1.03572      -0.0545239
       -0.132539        0.918937       -0.231653
       -0.646822        0.918289       -0.221376
       -0.646822        0.918289         3.30288
        -0.17794         1.20787      -0.0440713
        -0.17794         1.20787         2.26391
       -0.696028         1.40396         1.40381
       -0.476814          1.3418        0.625579
       -0.476814          1.3418         7.85007
       -0.169674         2.02554         7.28706
       -0.169674         2.02554         20.4481
       -0.542406         2.32059          17.222
       -0.542406         2.32059          33.943
        -0.76104         2.66489         33.4106
      -0.0572915         2.37533          17.007
      -0.0572915         2.37533         20.5615
      -0.0572915         2.37533         31.3696
       0.0308527         1.98261         6.80835
        0.483033         1.93011         6.82661
        0.483033         1.93011          23.545
         1.14632         2.22492         23.3736
        0.926118         2.04081         12.1823
        0.926118         2.04081         63.1328
         1.55189         2.71056         62.1336
         1.55189         2.71056         96.6351
         1.46277         2.50303         43.6422
        0.820503         1.91031         8.94286
        0.820503         1.91031         29.3061
        0.125345         2.04384         8.19602
        0.125345         2.04384         10.7368
        0.125345         2.04384         18.2815
       -0.342138         2.35373         15.3952
       -0.342138         2.35373         48.7285
       -0.342138         2.35373         58.3459
      -0.0998517         1.70194         2.71892
      -0.0998517         1.70194         11.8354
      -0.0998517         1.70194         12.9974
       -0.736789         1.73427         5.04732
       -0.736789         1.73427         42.9251
       -0.222051         1.13969        -0.14509
       -0.261077        0.770832       -0.123423
       -0.261077        0.770832         13.9055
       -0.528163        0.360787        0.453072
       -0.528163        0.360787         220.723
        -1.15077        0.683672        0.227396
         -0.6737         1.19097        0.438526
         -0.6737         1.19097         1.73051
       -0.197489          1.4121        0.666075
       -0.852641        0.808117       -0.206542
       -0.852641        0.808117          7.7358
       -0.481293         1.37232        0.778926
        -1.15669        0.798982           0.629
       -0.625969         1.19415        0.349418
       -0.625969         1.19415         8.85028
       -0.943314        0.636991       -0.355619
       -0.943314        0.636991         8.91963
        -0.79566        0.539889        -0.38798
       -0.310748        0.816461        -0.19873
       -0.310748        0.816461        0.472003
       -0.544488        0.504609        -0.16706
       -0.972625        0.688885       -0.250947
       -0.972625        0.688885       -0.076343
       -0.972625        0.688885         387.737
        -1.05797        0.399802        0.379852
        -1.11434        0.956504         1.11776
        -1.11434        0.956504         3.80394
        -1.11434        0.956504          4.2035
        -1.11434        0.956504         6.67791
        -1.13731        0.946307         1.18311
        -1.13731        0.946307         19.2901
        -1.35795        0.917751         2.71637
        -1.35795        0.917751         5.47943
       -0.862202        0.659941       -0.412403
       -0.862202        0.659941        0.386315
       -0.862202        0.659941         3.95214
       -0.238567        0.437315        0.666893
       -0.238567        0.437315         111.133
       -0.632209        0.876231        -0.25394
       -0.632209        0.876231         6.36131
        -0.48943         1.06551       -0.101732
        -0.48943         1.06551          1.9762
       -0.097688         1.33956        0.306621
       -0.097688         1.33956         6.40337
       -0.151523          1.8239         4.30934
       -0.151523          1.8239         21.6386
       -0.432902         1.79923         4.65177
      -0.0280017         1.57164         1.61951
      -0.0280017         1.57164         6.58053
        0.291615          1.2362       0.0948547
        0.291615          1.2362          1.8332
        0.719235         1.13787        0.352734
        0.719235         1.13787         2.18993
        0.719235         1.13787         4.01117
        0.478307         1.25505        0.368924
        0.246854         1.22119       0.0249886
        0.246854         1.22119         3.03265
      -0.0557199         1.15035       -0.150406
      -0.0557199         1.15035        0.559034
        0.496005        0.762789       -0.260341
       0.0835827         0.75458      -0.0299064
        -0.34468        0.917039       -0.254913
       -0.422458        0.914017       -0.266368
       -0.748719         1.16422        0.475064
       -0.468065          1.1859       0.0737258
       -0.544702        0.773026       -0.296759
       -0.544702        0.773026         3.47828
       -0.651442        0.509541        -0.29087
       -0.651442        0.509541        0.483345
        -0.80549        0.782904       -0.296849
        -0.80549        0.782904       -0.140307
         -0.6405        0.899559       -0.257622
         -0.6405        0.899559       -0.251494
       -0.241953        0.971105       -0.252332
          0.1339        0.844294       -0.168889
      -0.0930139        0.768043      -0.0617916
       0.0168383        0.851409       -0.164929
       0.0942964         1.32183        0.257504
       -0.168087         1.33023        0.326172
      -0.0456026         1.24171       0.0540785
      -0.0490778         1.23945       0.0165915
          0.3503        0.910513       -0.249317
          0.3503        0.910513      -0.0902111
        0.588604        0.770198       -0.316216
         0.88451        0.868675     -0.00581707
         0.88451        0.868675        0.487531
        0.657266        0.572369       -0.358161
        0.657266        0.572369         1.15892
        0.716021        0.986273       -0.048053
        0.462971         1.10279       -0.089208
        0.462971         1.10279         1.31617
        0.538432        0.635348       -0.251075
        0.538432        0.635348       -0.047327
        0.855334        0.752857       -0.305102
        0.855334        0.752857        0.162549
        0.552396        0.435299      -0.0226039
        0.552396        0.435299         1.08438
          0.1874        0.567643        0.323181
          0.1874        0.567643           2.582
        0.439335        0.526092       0.0115946
         0.42283        0.374653        0.359996
         0.42283        0.374653         113.741
       0.0235514       0.0875889         29.8834
       -0.370192        0.464931        0.259461
       -0.465691         0.38642        0.251314
       -0.591594        0.650435       -0.313126
       -0.591594        0.650435      -0.0256453
       -0.868879         0.67689       -0.395018
       -0.868879         0.67689         0.71679
       -0.962016        0.960767        0.413299
        -0.65759         1.12846        0.194849
       -0.291569        0.982919       -0.251019
       -0.291569        0.982919       0.0121195
       -0.291569        0.982919        0.463942
       -0.109124          1.2107      -0.0558806
       -0.335737        0.938469       -0.250328
       -0.688641        0.626332       -0.404165
       -0.688641        0.626332         1.33119
       -0.515019        0.955376       -0.236482
       -0.639871        0.679496       -0.361958
        -0.67916        0.757228       -0.348465
        -0.67916        0.757228         1.33034
       -0.741865        0.606608       -0.431448
       -0.741865        0.606608         2.01717
       -0.558405        0.920767       -0.244499
       -0.608879        0.882623        -0.26884
       -0.854245        0.845877       -0.115174
       -0.736666        0.727975       -0.384026
       -0.736666        0.727975       0.0425798
       -0.556396         1.06242      -0.0618576
       -0.540542        0.925737       -0.244949
       -0.235455        0.850001       -0.211631
       -0.183736          1.1083       -0.163132
       -0.119569         1.05362       -0.240466
       -0.244553           1.247        0.107813
       -0.244553           1.247         1.50678
        -0.54044         1.28777        0.618247
       -0.275938         1.04408       -0.240298
       -0.275938         1.04408      -0.0599755
       -0.300001         1.29345        0.288793
       -0.526717         1.13874        0.083938
       -0.526717         1.13874        0.269633
       -0.526717         1.13874        0.779962
       -0.604306         1.04835      -0.0800462
       -0.377224         1.15385      -0.0563875
        -0.12195         1.14081       -0.163838
       -0.392078         1.09879       -0.146344
       -0.293557         1.01132        -0.23916
       -0.479018        0.907022       -0.255918
       -0.320504        0.810357       -0.197036
       -0.225826        0.805892       -0.144736
       -0.225826        0.805892        0.228216
       -0.293815        0.958776       -0.237095
      -0.0729609         1.10776        -0.21225
      -0.0729609         1.10776        0.244215
        -0.28885         0.94632       -0.250787
       -0.229467        0.794972       -0.134874
      -0.0339186        0.925054       -0.221484
       0.0842567        0.874479       -0.188559
      0.00513947         1.07889       -0.231127
      0.00513947         1.07889       -0.173053
      -0.0560707         1.08201        -0.21347
       -0.171241         1.15374       -0.113761
       -0.299299          1.1624      -0.0965901
       -0.299299          1.1624        0.053642
       -0.115641         1.23573       0.0680647
      0.00888466         1.09899       -0.188556
        0.105303         1.14178       -0.147851
           0.156         1.11675       -0.181179
           0.156         1.11675         0.14256
        0.218738        0.977689       -0.250544
        0.189775         1.13493       -0.181387
        0.204842         1.10051       -0.187186
        0.242162         1.00067        -0.25671
        0.116957        0.887535       -0.204883
        0.191205        0.966263       -0.255587
        0.152146        0.945053       -0.245442
        0.100007         0.93588       -0.231277
     -0.00271212         1.02971       -0.247885
       -0.128162          1.1525        -0.12193
        -0.26625         1.08901       -0.172042
       -0.276911         1.18752      -0.0566555
         -0.1534         1.13318       -0.182539
      -0.0735963         1.16822       -0.133572
      -0.0959625         1.14968       -0.154262
       -0.101231         1.07167       -0.229789
       -0.050794         1.02705       -0.244743
       0.0604263         1.05473       -0.243775
       0.0421129         1.07849       -0.218799
       0.0818472         1.15483       -0.148641
        0.135796          1.0963       -0.216049
        0.168644         1.04542       -0.239743
        0.168644         1.04542       -0.220162
        0.210942         1.02852       -0.244451
        0.143319        0.965267       -0.245414
        0.211548         0.89275       -0.226299
        0.227818        0.922294       -0.243817
        0.226539        0.909323       -0.236004
        0.271899          0.9466       -0.245569
        0.221075        0.917775       -0.233897
        0.270298        0.944968       -0.255573
         0.24987        0.911863       -0.240154
        0.243457        0.927235       -0.249377
        0.228729        0.949707       -0.249785
        0.241861        0.932298       -0.244009
        0.274197        0.951627       -0.256108
        0.274197        0.951627       -0.248081
        0.268642        0.926448       -0.257495
        0.282882        0.947256       -0.257867
         0.28548        0.940762       -0.246347
        0.278695         0.94852       -0.260557
         0.28611         0.94418       -0.261995
         0.28611         0.94418       -0.251358
        0.287367        0.943452       -0.252159
