#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -4.123418e-01   -4.123418e-01    0.000000e+00
           2   -4.161273e-01   -4.142345e-01    1.338370e-03
           3   -4.138817e-01   -4.141169e-01    8.973996e-04
           4   -4.199684e-01   -4.155798e-01    1.434579e-03
           5   -4.112179e-01   -4.147074e-01    1.387791e-03
           6   -4.156132e-01   -4.148584e-01    1.164674e-03
           7   -4.112792e-01   -4.143471e-01    1.104845e-03
           8   -4.169145e-01   -4.146680e-01    1.012278e-03
           9   -4.205873e-01   -4.153257e-01    1.092771e-03
          10   -4.157485e-01   -4.153680e-01    9.843117e-04
          11   -4.187882e-01   -4.156789e-01    9.426605e-04
          12   -4.165625e-01   -4.157525e-01    8.669767e-04
          13   -4.152887e-01   -4.157169e-01    8.010199e-04
          14   -4.129642e-01   -4.155202e-01    7.675560e-04
          15   -4.099929e-01   -4.151518e-01    7.999628e-04
          16   -4.148175e-01   -4.151309e-01    7.502379e-04
          17   -4.153439e-01   -4.151434e-01    7.062109e-04
          18   -4.129258e-01   -4.150202e-01    6.776383e-04
          19   -4.120879e-01   -4.148659e-01    6.593131e-04
          20   -4.152801e-01   -4.148866e-01    6.266727e-04
