#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    4.259844e-02    4.259844e-02    0.000000e+00
           2    4.286937e-02    4.273390e-02    9.578874e-05
           3    4.287035e-02    4.277939e-02    7.387268e-05
           4    4.245690e-02    4.269876e-02    8.913231e-05
           5    4.230151e-02    4.261931e-02    1.006704e-04
           6    4.292670e-02    4.267054e-02    9.604750e-05
           7    4.312754e-02    4.273583e-02    1.021317e-04
           8    4.275664e-02    4.273843e-02    8.939837e-05
           9    4.220168e-02    4.267879e-02    9.734638e-05
          10    4.273185e-02    4.268410e-02    8.775622e-05
          11    4.293388e-02    4.270680e-02    8.266404e-05
          12    4.223057e-02    4.266712e-02    8.476840e-05
          13    4.242588e-02    4.264856e-02    8.025324e-05
          14    4.241868e-02    4.263214e-02    7.618219e-05
          15    4.241254e-02    4.261750e-02    7.249650e-05
          16    4.221108e-02    4.259210e-02    7.227871e-05
          17    4.221341e-02    4.256982e-02    7.137723e-05
          18    4.252540e-02    4.256736e-02    6.745448e-05
          19    4.244599e-02    4.256097e-02    6.420597e-05
          20    4.239342e-02    4.255259e-02    6.153978e-05
