#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    7.265825e-03    7.265825e-03    0.000000e+00
           2    7.304920e-03    7.285373e-03    1.382204e-05
           3    7.000130e-03    7.190292e-03    7.817809e-05
           4    7.212219e-03    7.195774e-03    5.882544e-05
           5    7.323235e-03    7.221266e-03    5.229301e-05
           6    7.396042e-03    7.250395e-03    5.104997e-05
           7    7.138217e-03    7.234370e-03    4.620403e-05
           8    7.351538e-03    7.249016e-03    4.268674e-05
           9    7.260187e-03    7.250257e-03    3.796181e-05
          10    7.175821e-03    7.242813e-03    3.488778e-05
          11    7.301737e-03    7.248170e-03    3.212477e-05
          12    7.009600e-03    7.228289e-03    3.506390e-05
          13    7.212632e-03    7.227085e-03    3.238736e-05
          14    7.573900e-03    7.251857e-03    3.839644e-05
          15    7.373159e-03    7.259944e-03    3.667838e-05
          16    7.247391e-03    7.259159e-03    3.439437e-05
          17    7.343312e-03    7.264110e-03    3.272545e-05
          18    7.293162e-03    7.265724e-03    3.094715e-05
          19    7.367155e-03    7.271062e-03    2.977524e-05
          20    7.161655e-03    7.265592e-03    2.878461e-05
          21    7.364537e-03    7.270303e-03    2.779686e-05
          22    7.200157e-03    7.267115e-03    2.671561e-05
          23    7.431549e-03    7.274264e-03    2.649340e-05
          24    7.137321e-03    7.268558e-03    2.599670e-05
          25    7.255947e-03    7.268054e-03    2.496173e-05
          26    7.330438e-03    7.270453e-03    2.411670e-05
          27    7.133171e-03    7.265369e-03    2.375344e-05
          28    7.310417e-03    7.266978e-03    2.295952e-05
          29    7.026921e-03    7.258700e-03    2.361294e-05
          30    7.302738e-03    7.260168e-03    2.287143e-05
