#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -6.717911e-01   -6.717911e-01    0.000000e+00
           2   -6.668061e-01   -6.692986e-01    1.762464e-03
           3   -6.688250e-01   -6.691407e-01    1.182025e-03
           4   -6.684697e-01   -6.689730e-01    8.983430e-04
           5   -6.683764e-01   -6.688536e-01    7.265554e-04
           6   -6.646131e-01   -6.681469e-01    8.847799e-04
           7   -6.688420e-01   -6.682462e-01    7.639356e-04
           8   -6.675987e-01   -6.681653e-01    6.727177e-04
           9   -6.664698e-01   -6.679769e-01    6.237897e-04
          10   -6.649386e-01   -6.676730e-01    6.310818e-04
          11   -6.674661e-01   -6.676542e-01    5.739910e-04
          12   -6.686559e-01   -6.677377e-01    5.321935e-04
          13   -6.684564e-01   -6.677930e-01    4.941190e-04
          14   -6.669936e-01   -6.677359e-01    4.621118e-04
          15   -6.660220e-01   -6.676216e-01    4.452054e-04
          16   -6.697912e-01   -6.677572e-01    4.375420e-04
          17   -6.671895e-01   -6.677238e-01    4.130769e-04
          18   -6.669255e-01   -6.676795e-01    3.925021e-04
          19   -6.681870e-01   -6.677062e-01    3.727517e-04
          20   -6.660261e-01   -6.676222e-01    3.634565e-04
          21   -6.675230e-01   -6.676175e-01    3.461797e-04
          22   -6.671521e-01   -6.675963e-01    3.310899e-04
          23   -6.702704e-01   -6.677126e-01    3.364896e-04
          24   -6.652168e-01   -6.676086e-01    3.381566e-04
          25   -6.656582e-01   -6.675306e-01    3.335080e-04
          26   -6.671720e-01   -6.675168e-01    3.209658e-04
          27   -6.669759e-01   -6.674967e-01    3.097027e-04
          28   -6.653303e-01   -6.674194e-01    3.081556e-04
          29   -6.675466e-01   -6.674238e-01    2.975608e-04
          30   -6.670811e-01   -6.674123e-01    2.878613e-04
