#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    1.003540e-01    1.003540e-01    0.000000e+00
           2    8.510400e-02    9.272900e-02    5.391689e-03
           3    8.364800e-02    8.970200e-02    4.362181e-03
           4    7.568600e-02    8.619800e-02    4.462299e-03
           5    7.641800e-02    8.424200e-02    3.975488e-03
           6    7.305600e-02    8.237767e-02    3.724486e-03
           7    8.030200e-02    8.208114e-02    3.204199e-03
           8    9.713400e-02    8.396275e-02    3.310359e-03
           9    8.189200e-02    8.373267e-02    2.950526e-03
          10    7.612800e-02    8.297220e-02    2.751730e-03
          11    6.890600e-02    8.169345e-02    2.782877e-03
          12    8.439600e-02    8.191867e-02    2.560067e-03
          13    8.622200e-02    8.224969e-02    2.384444e-03
          14    9.648200e-02    8.326629e-02    2.421157e-03
          15    6.710200e-02    8.218867e-02    2.488031e-03
          16    8.615800e-02    8.243675e-02    2.344865e-03
          17    7.207400e-02    8.182718e-02    2.284791e-03
          18    7.347400e-02    8.136311e-02    2.204483e-03
          19    7.914800e-02    8.124653e-02    2.091538e-03
          20    7.570600e-02    8.096950e-02    2.005223e-03
          21    7.015000e-02    8.045429e-02    1.974816e-03
          22    5.440600e-02    7.927027e-02    2.211693e-03
          23    9.452000e-02    7.993330e-02    2.212685e-03
          24    7.564000e-02    7.975442e-02    2.127709e-03
          25    6.831200e-02    7.929672e-02    2.091249e-03
          26    5.100000e-02    7.820838e-02    2.276466e-03
          27    8.499400e-02    7.845970e-02    2.205982e-03
          28    6.871400e-02    7.811164e-02    2.154480e-03
          29    9.092800e-02    7.855359e-02    2.125032e-03
          30    8.685400e-02    7.883027e-02    2.072131e-03
