#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -7.546849e+00   -7.546849e+00    0.000000e+00
           2   -7.548299e+00   -7.547574e+00    5.128746e-04
           3   -7.560051e+00   -7.551733e+00    3.413065e-03
           4   -7.543945e+00   -7.549786e+00    3.065217e-03
           5   -7.541000e+00   -7.548029e+00    2.912633e-03
           6   -7.553436e+00   -7.548930e+00    2.562840e-03
           7   -7.557449e+00   -7.550147e+00    2.468801e-03
           8   -7.543422e+00   -7.549306e+00    2.298860e-03
           9   -7.547402e+00   -7.549095e+00    2.053142e-03
          10   -7.548953e+00   -7.549081e+00    1.847876e-03
