#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -6.346849e+00   -6.346849e+00    0.000000e+00
           2   -6.348299e+00   -6.347574e+00    5.128746e-04
           3   -6.360051e+00   -6.351733e+00    3.413065e-03
           4   -6.343945e+00   -6.349786e+00    3.065217e-03
           5   -6.341000e+00   -6.348029e+00    2.912633e-03
           6   -6.353436e+00   -6.348930e+00    2.562840e-03
           7   -6.357449e+00   -6.350147e+00    2.468801e-03
           8   -6.343422e+00   -6.349306e+00    2.298860e-03
           9   -6.347402e+00   -6.349095e+00    2.053142e-03
          10   -6.348953e+00   -6.349081e+00    1.847876e-03
