#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    1.000000e+00    1.000000e+00    0.000000e+00
           2    1.000000e+00    1.000000e+00    0.000000e+00
           3    9.999800e-01    9.999933e-01    5.443311e-06
           4    1.000000e+00    9.999950e-01    4.330127e-06
           5    1.000000e+00    9.999960e-01    3.577710e-06
           6    1.000000e+00    9.999967e-01    3.042903e-06
           7    1.000000e+00    9.999971e-01    2.645203e-06
           8    1.000000e+00    9.999975e-01    2.338536e-06
           9    1.000000e+00    9.999978e-01    2.095125e-06
          10    1.000000e+00    9.999980e-01    1.897363e-06
          11    1.000000e+00    9.999982e-01    1.733564e-06
          12    1.000000e+00    9.999983e-01    1.595706e-06
          13    1.000000e+00    9.999985e-01    1.478101e-06
          14    1.000000e+00    9.999986e-01    1.376602e-06
          15    9.985980e-01    9.999052e-01    9.021452e-05
          16    1.000000e+00    9.999111e-01    8.477046e-05
          17    1.000000e+00    9.999164e-01    7.994500e-05
          18    1.000000e+00    9.999210e-01    7.563856e-05
          19    1.000000e+00    9.999252e-01    7.177177e-05
          20    1.000000e+00    9.999289e-01    6.828067e-05
          21    1.000000e+00    9.999323e-01    6.511309e-05
          22    1.000000e+00    9.999354e-01    6.222611e-05
          23    1.000000e+00    9.999382e-01    5.958405e-05
          24    1.000000e+00    9.999408e-01    5.715705e-05
          25    1.000000e+00    9.999431e-01    5.491988e-05
          26    1.000000e+00    9.999453e-01    5.285113e-05
          27    1.000000e+00    9.999473e-01    5.093248e-05
          28    1.000000e+00    9.999492e-01    4.914819e-05
          29    1.000000e+00    9.999510e-01    4.748461e-05
          30    1.000000e+00    9.999526e-01    4.592991e-05
