#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    8.881880e-01    8.881880e-01    0.000000e+00
           2    9.280080e-01    9.080980e-01    1.407850e-02
           3    9.490960e-01    9.217640e-01    1.458071e-02
           4    9.400200e-01    9.263280e-01    1.162792e-02
           5    8.942000e-01    9.199024e-01    1.093454e-02
           6    8.660800e-01    9.109320e-01    1.225101e-02
           7    9.508920e-01    9.166406e-01    1.175588e-02
           8    7.338820e-01    8.937957e-01    2.371624e-02
           9    9.259060e-01    8.973636e-01    2.134778e-02
          10    9.272120e-01    9.003484e-01    1.942055e-02
          11    8.989620e-01    9.002224e-01    1.765546e-02
          12    9.497300e-01    9.043480e-01    1.665922e-02
          13    9.435600e-01    9.073643e-01    1.564843e-02
          14    9.399300e-01    9.096904e-01    1.470255e-02
          15    8.656420e-01    9.067539e-01    1.401258e-02
          16    9.467920e-01    9.092562e-01    1.335836e-02
          17    9.012140e-01    9.087832e-01    1.258095e-02
          18    7.919400e-01    9.022919e-01    1.345281e-02
          19    8.905160e-01    9.016721e-01    1.275903e-02
          20    9.039080e-01    9.017839e-01    1.212157e-02
          21    9.333420e-01    9.032867e-01    1.163713e-02
          22    9.149180e-01    9.038154e-01    1.112018e-02
          23    9.266560e-01    9.048084e-01    1.068094e-02
          24    8.477820e-01    9.024323e-01    1.049687e-02
          25    9.497900e-01    9.043266e-01    1.024650e-02
          26    9.004080e-01    9.041759e-01    9.853509e-03
          27    7.158900e-01    8.972024e-01    1.169881e-02
          28    9.603480e-01    8.994576e-01    1.149631e-02
          29    9.456600e-01    9.010508e-01    1.120974e-02
          30    9.120700e-01    9.014181e-01    1.084209e-02
