#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    6.489498e-03    6.489498e-03    0.000000e+00
           2    5.342135e-03    5.915816e-03    4.056542e-04
           3    4.039124e-03    5.290252e-03    5.779470e-04
           4    4.765215e-03    5.158993e-03    4.481178e-04
           5    6.715866e-03    5.470367e-03    4.539619e-04
           6    5.936222e-03    5.548010e-03    3.848840e-04
           7    3.980464e-03    5.324075e-03    3.896377e-04
           8    5.785735e-03    5.381782e-03    3.451799e-04
           9    4.985154e-03    5.337712e-03    3.096270e-04
          10    5.098359e-03    5.313777e-03    2.795880e-04
          11    5.578685e-03    5.337859e-03    2.552060e-04
          12    4.481453e-03    5.266492e-03    2.437134e-04
          13    4.485736e-03    5.206434e-03    2.322484e-04
          14    4.290513e-03    5.141011e-03    2.246849e-04
          15    7.325178e-03    5.286622e-03    2.525187e-04
          16    4.766806e-03    5.254134e-03    2.388171e-04
          17    6.030127e-03    5.299780e-03    2.290898e-04
          18    7.753069e-03    5.436074e-03    2.536864e-04
          19    5.989030e-03    5.465177e-03    2.419981e-04
          20    5.380558e-03    5.460946e-03    2.299352e-04
          21    4.757007e-03    5.427425e-03    2.214158e-04
          22    5.445532e-03    5.428248e-03    2.113530e-04
          23    5.337537e-03    5.424304e-03    2.022005e-04
          24    6.273051e-03    5.459669e-03    1.968438e-04
          25    4.119685e-03    5.406069e-03    1.961317e-04
          26    5.382051e-03    5.405146e-03    1.885904e-04
          27    5.809740e-03    5.420131e-03    1.821999e-04
          28    3.991288e-03    5.369100e-03    1.826992e-04
          29    4.128555e-03    5.326323e-03    1.813381e-04
          30    6.004169e-03    5.348918e-03    1.766956e-04
