#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1    2.049946e+01    2.049946e+01    0.000000e+00
           2    1.990297e+01    2.020122e+01    2.108913e-01
           3    1.893091e+01    1.977778e+01    3.732278e-01
           4    1.985585e+01    1.979730e+01    2.804307e-01
           5    1.844975e+01    1.952779e+01    3.293005e-01
           6    2.118761e+01    1.980442e+01    3.729319e-01
           7    1.771019e+01    1.950525e+01    4.229653e-01
           8    1.873571e+01    1.940906e+01    3.808759e-01
           9    2.204686e+01    1.970215e+01    4.370096e-01
          10    1.770702e+01    1.950263e+01    4.364817e-01
          11    1.959605e+01    1.951113e+01    3.968842e-01
          12    1.693284e+01    1.929627e+01    4.179409e-01
          13    1.978487e+01    1.933385e+01    3.874779e-01
          14    1.733228e+01    1.919088e+01    3.852753e-01
          15    1.823094e+01    1.912689e+01    3.648666e-01
          16    2.021551e+01    1.919493e+01    3.483485e-01
          17    2.200555e+01    1.936026e+01    3.649889e-01
          18    1.754666e+01    1.925950e+01    3.583489e-01
          19    1.922402e+01    1.925763e+01    3.394933e-01
          20    1.896234e+01    1.924287e+01    3.228395e-01
          21    1.809771e+01    1.918834e+01    3.120377e-01
          22    1.877249e+01    1.916944e+01    2.984262e-01
          23    1.703219e+01    1.907651e+01    2.995693e-01
          24    1.783663e+01    1.902485e+01    2.915078e-01
          25    2.035763e+01    1.907816e+01    2.846805e-01
