#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    4.501800e-02    4.501800e-02    0.000000e+00
           2   -3.634600e-02    4.336000e-03    2.876652e-02
           3   -1.844600e-02   -3.258000e-03    2.015513e-02
           4   -4.026000e-02   -1.250850e-02    1.710797e-02
           5    7.116000e-03   -8.583600e-03    1.412943e-02
           6   -5.798000e-03   -8.119333e-03    1.178215e-02
           7    1.810000e-03   -6.700857e-03    1.018402e-02
           8    7.560200e-02    3.587000e-03    1.311549e-02
           9    3.442000e-03    3.570889e-03    1.165823e-02
          10   -4.059000e-02   -8.452000e-04    1.129788e-02
          11   -3.234000e-02   -3.708364e-03    1.062741e-02
          12    1.844800e-02   -1.862000e-03    9.900885e-03
          13   -5.090600e-02   -5.634615e-03    9.831796e-03
          14    6.478000e-02   -6.050000e-04    1.033626e-02
          15   -5.268200e-02   -4.076800e-03    1.021361e-02
          16   -3.886200e-02   -6.250875e-03    9.803919e-03
          17   -2.697000e-02   -7.469647e-03    9.302665e-03
          18   -2.802400e-02   -8.611556e-03    8.855658e-03
          19   -6.494800e-02   -1.157663e-02    8.872083e-03
          20   -1.237820e-01   -1.718690e-02    1.004692e-02
          21    2.124600e-02   -1.535676e-02    9.733757e-03
          22   -3.302000e-03   -1.480882e-02    9.306723e-03
          23   -9.134000e-03   -1.456209e-02    8.905353e-03
          24    2.908600e-02   -1.274342e-02    8.718025e-03
          25   -5.884000e-03   -1.246904e-02    8.373621e-03
