#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -8.705200e-01   -8.705200e-01    0.000000e+00
           2   -8.721440e-01   -8.713320e-01    5.741707e-04
           3   -8.693800e-01   -8.706813e-01    6.548020e-04
           4   -8.721520e-01   -8.710490e-01    5.852903e-04
           5   -8.680840e-01   -8.704560e-01    7.075031e-04
           6   -8.755720e-01   -8.713087e-01    9.764623e-04
           7   -8.680200e-01   -8.708389e-01    9.432414e-04
           8   -8.664600e-01   -8.702915e-01    9.712516e-04
           9   -8.743640e-01   -8.707440e-01    9.629914e-04
          10   -8.708000e-01   -8.707496e-01    8.667086e-04
          11   -8.721480e-01   -8.708767e-01    7.971858e-04
          12   -8.652640e-01   -8.704090e-01    8.570525e-04
          13   -8.713240e-01   -8.704794e-01    7.940102e-04
          14   -8.692320e-01   -8.703903e-01    7.422774e-04
          15   -8.642640e-01   -8.699819e-01    7.972746e-04
          16   -8.767960e-01   -8.704078e-01    8.536478e-04
          17   -8.753640e-01   -8.706993e-01    8.517647e-04
          18   -8.659840e-01   -8.704373e-01    8.437665e-04
          19   -8.721680e-01   -8.705284e-01    8.042593e-04
          20   -8.701600e-01   -8.705100e-01    7.642573e-04
          21   -8.689880e-01   -8.704375e-01    7.312925e-04
          22   -8.702640e-01   -8.704296e-01    6.980945e-04
          23   -8.650800e-01   -8.701970e-01    7.054271e-04
          24   -8.680560e-01   -8.701078e-01    6.816519e-04
          25   -8.733200e-01   -8.702363e-01    6.663852e-04
