#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    4.015343e-03    4.015343e-03    0.000000e+00
           2    4.008181e-03    4.011762e-03    2.532083e-06
           3    3.952160e-03    3.991895e-03    1.630940e-05
           4    3.868737e-03    3.961105e-03    2.933631e-05
           5    3.881303e-03    3.945145e-03    2.746970e-05
           6    3.986684e-03    3.952068e-03    2.374781e-05
           7    3.895211e-03    3.943946e-03    2.169989e-05
           8    4.000156e-03    3.950972e-03    2.009278e-05
           9    3.982795e-03    3.954508e-03    1.816870e-05
          10    3.980849e-03    3.957142e-03    1.654168e-05
          11    3.869666e-03    3.949190e-03    1.684129e-05
          12    3.947099e-03    3.949015e-03    1.543875e-05
          13    3.916814e-03    3.946538e-03    1.444850e-05
          14    3.880627e-03    3.941830e-03    1.416272e-05
          15    3.972378e-03    3.943867e-03    1.336416e-05
          16    3.950701e-03    3.944294e-03    1.253572e-05
          17    3.975083e-03    3.946105e-03    1.192844e-05
          18    4.008113e-03    3.949550e-03    1.175266e-05
          19    3.973560e-03    3.950814e-03    1.120183e-05
          20    3.864110e-03    3.946479e-03    1.144992e-05
          21    3.955572e-03    3.946912e-03    1.091287e-05
          22    3.992561e-03    3.948987e-03    1.061226e-05
          23    3.917901e-03    3.947635e-03    1.023656e-05
          24    3.882459e-03    3.944919e-03    1.016387e-05
          25    3.909287e-03    3.943494e-03    9.856743e-06
