#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    4.888556e-03    4.888556e-03    0.000000e+00
           2    4.834738e-03    4.861647e-03    1.902736e-05
           3    4.809572e-03    4.844289e-03    1.902052e-05
           4    4.663343e-03    4.799052e-03    4.169247e-05
           5    4.726303e-03    4.784503e-03    3.580287e-05
           6    4.793064e-03    4.785929e-03    2.986414e-05
           7    4.786714e-03    4.786041e-03    2.559805e-05
           8    4.836687e-03    4.792372e-03    2.316791e-05
           9    4.865365e-03    4.800482e-03    2.196743e-05
          10    4.779843e-03    4.798419e-03    1.986741e-05
          11    4.771990e-03    4.796016e-03    1.820598e-05
          12    4.798410e-03    4.796215e-03    1.668990e-05
          13    4.805091e-03    4.796898e-03    1.542002e-05
          14    4.743802e-03    4.793106e-03    1.477763e-05
          15    4.806738e-03    4.794014e-03    1.382037e-05
          16    4.845253e-03    4.797217e-03    1.332246e-05
          17    4.801424e-03    4.797464e-03    1.254108e-05
          18    4.792151e-03    4.797169e-03    1.184783e-05
          19    4.831459e-03    4.798974e-03    1.136088e-05
          20    4.766707e-03    4.797360e-03    1.090679e-05
          21    4.842412e-03    4.799506e-03    1.059631e-05
          22    4.770779e-03    4.798200e-03    1.019479e-05
          23    4.790549e-03    4.797867e-03    9.756967e-06
          24    4.779398e-03    4.797098e-03    9.380726e-06
          25    4.788124e-03    4.796739e-03    9.012362e-06
