#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1    1.782670e+00    1.782670e+00    0.000000e+00
           2    1.793422e+00    1.788046e+00    3.801406e-03
           3    1.777168e+00    1.784420e+00    3.897091e-03
           4    1.782149e+00    1.783852e+00    2.963895e-03
           5    1.759429e+00    1.778967e+00    4.970947e-03
           6    1.748937e+00    1.773962e+00    6.167268e-03
           7    1.809863e+00    1.779091e+00    7.105612e-03
           8    1.761271e+00    1.776863e+00    6.557269e-03
           9    1.814464e+00    1.781041e+00    7.034809e-03
          10    1.776446e+00    1.780582e+00    6.346321e-03
          11    1.753127e+00    1.778086e+00    6.240910e-03
          12    1.776331e+00    1.777940e+00    5.722546e-03
          13    1.721474e+00    1.773596e+00    6.731856e-03
          14    1.770096e+00    1.773346e+00    6.255650e-03
          15    1.755381e+00    1.772148e+00    5.952158e-03
          16    1.755531e+00    1.771110e+00    5.670031e-03
          17    1.762208e+00    1.770586e+00    5.360625e-03
          18    1.855120e+00    1.775283e+00    6.816319e-03
          19    1.729488e+00    1.772872e+00    6.870491e-03
          20    1.799577e+00    1.774208e+00    6.655450e-03
          21    1.780446e+00    1.774505e+00    6.345150e-03
          22    1.788672e+00    1.775149e+00    6.089325e-03
          23    1.843125e+00    1.778104e+00    6.502362e-03
          24    1.724809e+00    1.775883e+00    6.599728e-03
          25    1.828539e+00    1.777990e+00    6.663362e-03
