#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -5.171160e-01   -5.171160e-01    0.000000e+00
           2   -5.138280e-01   -5.154720e-01    1.162484e-03
           3   -5.168560e-01   -5.159333e-01    8.616807e-04
           4   -5.170960e-01   -5.162240e-01    6.935546e-04
           5   -5.174200e-01   -5.164632e-01    5.946636e-04
           6   -5.150400e-01   -5.162260e-01    5.407951e-04
           7   -5.169720e-01   -5.163326e-01    4.739230e-04
           8   -5.156040e-01   -5.162415e-01    4.233426e-04
           9   -5.155840e-01   -5.161684e-01    3.825562e-04
          10   -5.148960e-01   -5.160412e-01    3.648491e-04
          11   -5.158600e-01   -5.160247e-01    3.320527e-04
          12   -5.174880e-01   -5.161467e-01    3.260035e-04
          13   -5.173000e-01   -5.162354e-01    3.127652e-04
          14   -5.134680e-01   -5.160377e-01    3.473171e-04
          15   -5.160800e-01   -5.160405e-01    3.241741e-04
          16   -5.174440e-01   -5.161283e-01    3.155575e-04
          17   -5.164280e-01   -5.161459e-01    2.974875e-04
          18   -5.166240e-01   -5.161724e-01    2.821438e-04
          19   -5.170920e-01   -5.162208e-01    2.714133e-04
          20   -5.143680e-01   -5.161282e-01    2.731964e-04
          21   -5.175600e-01   -5.161964e-01    2.685602e-04
          22   -5.170520e-01   -5.162353e-01    2.591537e-04
          23   -5.156200e-01   -5.162085e-01    2.492630e-04
          24   -5.154160e-01   -5.161755e-01    2.410544e-04
          25   -5.179480e-01   -5.162464e-01    2.416141e-04
