#   N_BLOCK:  ACCEPTANCE:
           1    5.102722e-01
           2    5.098370e-01
           3    5.101907e-01
           4    5.098245e-01
           5    5.098944e-01
           6    5.098512e-01
           7    5.099648e-01
           8    5.098060e-01
           9    5.099979e-01
          10    5.100006e-01
