#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1    1.650000e+00    1.650000e+00    0.000000e+00
           2    1.650000e+00    1.650000e+00    0.000000e+00
           3    1.650000e+00    1.650000e+00    0.000000e+00
           4    1.650000e+00    1.650000e+00    0.000000e+00
           5    1.650000e+00    1.650000e+00    0.000000e+00
           6    1.650000e+00    1.650000e+00    0.000000e+00
           7    1.650000e+00    1.650000e+00    1.379579e-08
           8    1.650000e+00    1.650000e+00    1.290478e-08
           9    1.650000e+00    1.650000e+00    1.216675e-08
          10    1.650000e+00    1.650000e+00    1.154239e-08
