#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -3.816056e+00   -3.816056e+00    0.000000e+00
           2   -3.808938e+00   -3.812497e+00    2.516725e-03
           3   -3.813786e+00   -3.812927e+00    1.714099e-03
           4   -3.799065e+00   -3.809461e+00    3.264967e-03
           5   -3.802587e+00   -3.808086e+00    2.886954e-03
           6   -3.809125e+00   -3.808259e+00    2.410980e-03
           7   -3.816824e+00   -3.809483e+00    2.356630e-03
           8   -3.812790e+00   -3.809896e+00    2.098004e-03
           9   -3.830159e+00   -3.812148e+00    2.825518e-03
          10   -3.820737e+00   -3.813007e+00    2.670327e-03
