#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -6.659600e-01   -6.659600e-01    0.000000e+00
           2   -6.637040e-01   -6.648320e-01    7.976164e-04
           3   -6.653200e-01   -6.649947e-01    5.480806e-04
           4   -6.639920e-01   -6.647440e-01    4.648613e-04
           5   -6.645480e-01   -6.647048e-01    3.735382e-04
           6   -6.636920e-01   -6.645360e-01    3.473340e-04
           7   -6.652160e-01   -6.646331e-01    3.110028e-04
           8   -6.631600e-01   -6.644490e-01    3.220611e-04
           9   -6.631200e-01   -6.643013e-01    3.183346e-04
          10   -6.651360e-01   -6.643848e-01    2.972422e-04
          11   -6.650760e-01   -6.644476e-01    2.767822e-04
          12   -6.649440e-01   -6.644890e-01    2.567892e-04
          13   -6.655880e-01   -6.645735e-01    2.505657e-04
          14   -6.622000e-01   -6.644040e-01    2.842968e-04
          15   -6.639880e-01   -6.643763e-01    2.666929e-04
          16   -6.634760e-01   -6.643200e-01    2.558913e-04
          17   -6.643800e-01   -6.643235e-01    2.408632e-04
          18   -6.651280e-01   -6.643682e-01    2.315913e-04
          19   -6.636600e-01   -6.643309e-01    2.223817e-04
          20   -6.634440e-01   -6.642866e-01    2.156392e-04
          21   -6.653080e-01   -6.643352e-01    2.107845e-04
          22   -6.651920e-01   -6.643742e-01    2.047694e-04
          23   -6.627640e-01   -6.643042e-01    2.074889e-04
          24   -6.640480e-01   -6.642935e-01    1.991179e-04
          25   -6.678600e-01   -6.644362e-01    2.368065e-04
