#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    2.286000e-03    2.286000e-03    0.000000e+00
           2   -1.257400e-02   -5.144000e-03    5.253803e-03
           3   -8.626000e-03   -6.304667e-03    3.628478e-03
           4   -2.700000e-03   -5.403500e-03    2.831054e-03
           5    3.662000e-03   -3.590400e-03    2.785567e-03
           6    1.474400e-02   -5.346667e-04    3.629010e-03
           7    2.468000e-03   -1.057143e-04    3.135829e-03
           8   -2.570000e-03   -4.137500e-04    2.758938e-03
           9   -7.628000e-03   -1.215333e-03    2.566195e-03
          10   -2.034000e-03   -1.297200e-03    2.310881e-03
          11   -2.006000e-03   -1.361636e-03    2.101699e-03
          12    7.156000e-03   -6.518333e-04    2.042905e-03
          13    6.722000e-03   -8.461538e-05    1.962924e-03
          14   -5.920000e-04   -1.208571e-04    1.823050e-03
          15   -9.894000e-03   -7.724000e-04    1.814209e-03
          16    1.019400e-02   -8.700000e-05    1.825706e-03
          17    9.690000e-03    4.881176e-04    1.806627e-03
          18    1.344000e-03    5.356667e-04    1.706884e-03
          19    1.166600e-02    1.121474e-03    1.714629e-03
          20    1.780000e-03    1.154400e-03    1.629214e-03
          21    9.740000e-04    1.145810e-03    1.551655e-03
          22   -1.242200e-02    5.290909e-04    1.598995e-03
          23    8.080000e-04    5.412174e-04    1.529519e-03
          24    4.458000e-03    7.044167e-04    1.474470e-03
          25   -4.042000e-03    5.145600e-04    1.427662e-03
