#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    5.956126e-03    5.956126e-03    0.000000e+00
           2    5.850258e-03    5.903192e-03    3.742991e-05
           3    6.029162e-03    5.945182e-03    4.240393e-05
           4    6.004061e-03    5.959902e-03    3.426270e-05
           5    5.863810e-03    5.940683e-03    3.235423e-05
           6    5.990308e-03    5.948954e-03    2.799904e-05
           7    6.000888e-03    5.956373e-03    2.496280e-05
           8    6.007082e-03    5.962712e-03    2.263291e-05
           9    5.916869e-03    5.957618e-03    2.068337e-05
          10    5.975445e-03    5.959401e-03    1.869170e-05
          11    5.920683e-03    5.955881e-03    1.732069e-05
          12    5.850015e-03    5.947059e-03    1.798426e-05
          13    6.062442e-03    5.955935e-03    1.866292e-05
          14    5.834952e-03    5.947293e-03    1.922674e-05
          15    5.941113e-03    5.946881e-03    1.794937e-05
          16    6.048369e-03    5.953224e-03    1.791325e-05
          17    5.953409e-03    5.953235e-03    1.685953e-05
          18    5.901251e-03    5.950347e-03    1.616835e-05
          19    5.866327e-03    5.945925e-03    1.591063e-05
          20    5.997893e-03    5.948523e-03    1.532581e-05
          21    5.867092e-03    5.944645e-03    1.507859e-05
          22    5.868199e-03    5.941171e-03    1.478817e-05
          23    5.970142e-03    5.942430e-03    1.419875e-05
          24    6.023276e-03    5.945799e-03    1.400102e-05
          25    5.905319e-03    5.944180e-03    1.353429e-05
          26    5.923137e-03    5.943370e-03    1.303791e-05
          27    5.884280e-03    5.941182e-03    1.273739e-05
          28    5.843723e-03    5.937701e-03    1.274918e-05
          29    5.956454e-03    5.938348e-03    1.232594e-05
          30    5.955110e-03    5.938907e-03    1.192774e-05
