#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -5.857854e-01   -5.857854e-01    0.000000e+00
           2   -5.817764e-01   -5.837809e-01    1.417396e-03
           3   -5.845948e-01   -5.840522e-01    9.705426e-04
           4   -5.874696e-01   -5.849066e-01    1.037927e-03
           5   -5.841279e-01   -5.847508e-01    8.419446e-04
           6   -5.830353e-01   -5.844649e-01    7.485980e-04
           7   -5.865381e-01   -5.847611e-01    6.977888e-04
           8   -5.827505e-01   -5.845098e-01    6.542601e-04
           9   -5.839644e-01   -5.844492e-01    5.843643e-04
          10   -5.849242e-01   -5.844967e-01    5.278555e-04
          11   -5.851049e-01   -5.845520e-01    4.827559e-04
          12   -5.851194e-01   -5.845992e-01    4.448364e-04
          13   -5.831510e-01   -5.844878e-01    4.243388e-04
          14   -5.827546e-01   -5.843640e-01    4.116939e-04
          15   -5.835517e-01   -5.843099e-01    3.877935e-04
          16   -5.845379e-01   -5.843241e-01    3.638181e-04
          17   -5.829991e-01   -5.842462e-01    3.506670e-04
          18   -5.862998e-01   -5.843603e-01    3.492529e-04
          19   -5.863225e-01   -5.844636e-01    3.458032e-04
          20   -5.828533e-01   -5.843830e-01    3.377556e-04
          21   -5.853629e-01   -5.844297e-01    3.248789e-04
          22   -5.866745e-01   -5.845317e-01    3.257416e-04
          23   -5.843856e-01   -5.845254e-01    3.116409e-04
          24   -5.859263e-01   -5.845838e-01    3.040732e-04
          25   -5.855396e-01   -5.846220e-01    2.943042e-04
          26   -5.844921e-01   -5.846170e-01    2.830272e-04
          27   -5.817482e-01   -5.845107e-01    2.918074e-04
          28   -5.842609e-01   -5.845018e-01    2.815221e-04
          29   -5.844063e-01   -5.844985e-01    2.718337e-04
          30   -5.835544e-01   -5.844671e-01    2.645880e-04
