#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    5.027200e-02    5.027200e-02    0.000000e+00
           2    4.762200e-02    4.894700e-02    9.369165e-04
           3    4.233800e-02    4.674400e-02    1.904104e-03
           4    5.208200e-02    4.807850e-02    1.837137e-03
           5    5.799400e-02    5.006160e-02    2.303518e-03
           6    4.916400e-02    4.991200e-02    1.924450e-03
           7    5.230600e-02    5.025400e-02    1.679643e-03
           8    4.832600e-02    5.001300e-02    1.486877e-03
           9    4.881800e-02    4.988022e-02    1.327583e-03
          10    5.061200e-02    4.995340e-02    1.196840e-03
          11    5.464400e-02    5.037982e-02    1.161519e-03
          12    4.997200e-02    5.034583e-02    1.065223e-03
          13    5.215000e-02    5.048462e-02    9.922817e-04
          14    4.572800e-02    5.014486e-02    9.778427e-04
          15    4.918400e-02    5.008080e-02    9.147490e-04
          16    5.129400e-02    5.015663e-02    8.607141e-04
          17    5.095400e-02    5.020353e-02    8.113608e-04
          18    5.279200e-02    5.034733e-02    7.789247e-04
          19    5.412400e-02    5.054611e-02    7.628693e-04
          20    4.346600e-02    5.019210e-02    8.026713e-04
          21    4.694400e-02    5.003743e-02    7.792087e-04
          22    5.992600e-02    5.048691e-02    8.637553e-04
          23    4.947800e-02    5.044304e-02    8.273138e-04
          24    5.871400e-02    5.078767e-02    8.616354e-04
          25    6.438000e-02    5.133136e-02    9.838641e-04
          26    6.060600e-02    5.168808e-02    1.008619e-03
          27    5.721200e-02    5.189267e-02    9.917955e-04
          28    4.504600e-02    5.164814e-02    9.860569e-04
          29    4.731400e-02    5.149869e-02    9.633144e-04
          30    5.492000e-02    5.161273e-02    9.379303e-04
