#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1    2.633317e+00    2.633317e+00    0.000000e+00
           2    2.568947e+00    2.601132e+00    2.275847e-02
           3    2.715507e+00    2.639257e+00    3.462952e-02
           4    2.652595e+00    2.642591e+00    2.613218e-02
           5    2.584899e+00    2.631053e+00    2.331438e-02
           6    2.698464e+00    2.642288e+00    2.196961e-02
           7    2.582003e+00    2.633676e+00    2.044956e-02
           8    2.664659e+00    2.637549e+00    1.825641e-02
           9    2.622792e+00    2.635909e+00    1.630138e-02
          10    2.610043e+00    2.633322e+00    1.487505e-02
          11    2.580592e+00    2.628529e+00    1.427430e-02
          12    2.589616e+00    2.625286e+00    1.344806e-02
          13    2.578003e+00    2.621649e+00    1.289608e-02
          14    2.503920e+00    2.613240e+00    1.445899e-02
          15    2.630176e+00    2.614369e+00    1.353907e-02
          16    2.504744e+00    2.607517e+00    1.432197e-02
          17    2.558152e+00    2.604613e+00    1.377074e-02
          18    2.571675e+00    2.602783e+00    1.312672e-02
          19    2.667152e+00    2.606171e+00    1.286559e-02
          20    2.514157e+00    2.601571e+00    1.301895e-02
          21    2.495579e+00    2.596523e+00    1.334154e-02
          22    2.672392e+00    2.599972e+00    1.317327e-02
          23    2.616333e+00    2.600683e+00    1.261971e-02
          24    2.641293e+00    2.602375e+00    1.220680e-02
          25    2.659819e+00    2.604673e+00    1.193282e-02
          26    2.669352e+00    2.607161e+00    1.173031e-02
          27    2.537691e+00    2.604588e+00    1.157459e-02
          28    2.536013e+00    2.602139e+00    1.141738e-02
          29    2.689789e+00    2.605161e+00    1.141672e-02
          30    2.662133e+00    2.607060e+00    1.119300e-02
