#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1    2.464803e+00    2.464803e+00    0.000000e+00
           2    2.514213e+00    2.489508e+00    1.746931e-02
           3    2.420728e+00    2.466581e+00    2.204667e-02
           4    2.522341e+00    2.480521e+00    2.047313e-02
           5    2.563485e+00    2.497114e+00    2.210231e-02
           6    2.534744e+00    2.503386e+00    1.928788e-02
           7    2.618509e+00    2.519832e+00    2.247579e-02
           8    2.578520e+00    2.527168e+00    2.082916e-02
           9    2.522427e+00    2.526641e+00    1.852147e-02
          10    2.481368e+00    2.522114e+00    1.721375e-02
          11    2.482603e+00    2.518522e+00    1.601924e-02
          12    2.480992e+00    2.515394e+00    1.498649e-02
          13    2.362344e+00    2.503621e+00    1.786938e-02
          14    2.445355e+00    2.499459e+00    1.707079e-02
          15    2.531221e+00    2.501577e+00    1.606352e-02
          16    2.473080e+00    2.499796e+00    1.515797e-02
          17    2.525203e+00    2.501290e+00    1.433981e-02
          18    2.587739e+00    2.506093e+00    1.432485e-02
          19    2.347141e+00    2.497727e+00    1.582637e-02
          20    2.469253e+00    2.496303e+00    1.509895e-02
          21    2.476048e+00    2.495339e+00    1.441073e-02
          22    2.546683e+00    2.497673e+00    1.394340e-02
          23    2.528928e+00    2.499032e+00    1.340322e-02
          24    2.425536e+00    2.495969e+00    1.318995e-02
          25    2.603059e+00    2.500253e+00    1.333979e-02
