#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1    8.263528e+00    8.263528e+00    0.000000e+00
           2    8.029680e+00    8.146604e+00    8.267775e-02
           3    7.897824e+00    8.063677e+00    8.730753e-02
           4    9.007128e+00    8.299540e+00    2.145020e-01
           5    8.349720e+00    8.309576e+00    1.718362e-01
           6    8.161632e+00    8.284919e+00    1.449551e-01
           7    8.033168e+00    8.248954e+00    1.286314e-01
           8    7.952684e+00    8.211920e+00    1.177630e-01
           9    8.468848e+00    8.240468e+00    1.080830e-01
          10    7.712372e+00    8.187658e+00    1.094182e-01
          11    8.773516e+00    8.240918e+00    1.116836e-01
          12    8.426928e+00    8.256419e+00    1.034467e-01
          13    7.678576e+00    8.211970e+00    1.046039e-01
          14    7.888984e+00    8.188899e+00    9.964383e-02
          15    8.232496e+00    8.191806e+00    9.304328e-02
          16    8.695172e+00    8.223266e+00    9.239391e-02
          17    7.972000e+00    8.208486e+00    8.813326e-02
          18    8.287108e+00    8.212854e+00    8.334514e-02
          19    8.408248e+00    8.223137e+00    7.959048e-02
          20    8.168092e+00    8.220385e+00    7.565853e-02
          21    8.380320e+00    8.228001e+00    7.243805e-02
          22    8.020788e+00    8.218582e+00    6.975506e-02
          23    8.348948e+00    8.224250e+00    6.695212e-02
          24    7.775024e+00    8.205533e+00    6.672763e-02
          25    8.302560e+00    8.209414e+00    6.417130e-02
          26    8.327044e+00    8.213938e+00    6.186245e-02
          27    7.850072e+00    8.200461e+00    6.102150e-02
          28    8.259324e+00    8.202564e+00    5.887836e-02
          29    7.638452e+00    8.183112e+00    5.997534e-02
          30    8.061312e+00    8.179052e+00    5.811341e-02
