#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    1.360760e-01    1.360760e-01    0.000000e+00
           2    1.425640e-01    1.393200e-01    2.293854e-03
           3    1.259000e-01    1.348467e-01    3.959676e-03
           4    1.517880e-01    1.390820e-01    4.719427e-03
           5    1.410240e-01    1.394704e-01    3.791491e-03
           6    1.485160e-01    1.409780e-01    3.446297e-03
           7    1.647680e-01    1.443766e-01    4.315806e-03
           8    1.234220e-01    1.417572e-01    4.501545e-03
           9    1.438360e-01    1.419882e-01    4.007295e-03
          10    1.289860e-01    1.406880e-01    3.811671e-03
          11    1.704300e-01    1.433918e-01    4.318950e-03
          12    1.442400e-01    1.434625e-01    3.959616e-03
          13    1.278360e-01    1.422605e-01    3.833144e-03
          14    1.482120e-01    1.426856e-01    3.582844e-03
          15    1.472840e-01    1.429921e-01    3.357077e-03
          16    1.658020e-01    1.444177e-01    3.436656e-03
          17    1.205720e-01    1.430151e-01    3.509101e-03
          18    1.636940e-01    1.441639e-01    3.497154e-03
          19    1.578000e-01    1.448816e-01    3.385935e-03
          20    1.416820e-01    1.447216e-01    3.220416e-03
          21    1.532600e-01    1.451282e-01    3.092623e-03
          22    1.521180e-01    1.454459e-01    2.968324e-03
          23    1.439780e-01    1.453821e-01    2.839953e-03
          24    1.424480e-01    1.452598e-01    2.724252e-03
          25    1.398520e-01    1.450435e-01    2.623856e-03
          26    1.311180e-01    1.445079e-01    2.577023e-03
          27    1.577920e-01    1.449999e-01    2.528108e-03
          28    1.266420e-01    1.443443e-01    2.521402e-03
          29    1.254500e-01    1.436928e-01    2.517227e-03
          30    1.500760e-01    1.439055e-01    2.442296e-03
