#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    4.771515e-03    4.771515e-03    0.000000e+00
           2    4.762352e-03    4.766933e-03    3.239611e-06
           3    4.874813e-03    4.802893e-03    2.944052e-05
           4    4.660123e-03    4.767201e-03    3.798707e-05
           5    4.790669e-03    4.771894e-03    3.067825e-05
           6    4.830315e-03    4.781631e-03    2.706632e-05
           7    4.782148e-03    4.781705e-03    2.319980e-05
           8    4.845588e-03    4.789690e-03    2.163049e-05
           9    4.735601e-03    4.783680e-03    2.004463e-05
          10    4.780459e-03    4.783358e-03    1.804275e-05
          11    4.720748e-03    4.777666e-03    1.727697e-05
          12    4.842936e-03    4.783106e-03    1.667143e-05
          13    4.772833e-03    4.782315e-03    1.540772e-05
          14    4.823213e-03    4.785237e-03    1.458147e-05
          15    4.737618e-03    4.782062e-03    1.395066e-05
          16    4.725114e-03    4.778503e-03    1.352516e-05
          17    4.723323e-03    4.775257e-03    1.311327e-05
          18    4.688655e-03    4.770446e-03    1.323797e-05
          19    4.756914e-03    4.769734e-03    1.256038e-05
          20    4.760592e-03    4.769277e-03    1.194067e-05
          21    4.805017e-03    4.770978e-03    1.149272e-05
          22    4.883875e-03    4.776110e-03    1.206172e-05
          23    4.750524e-03    4.774998e-03    1.158848e-05
          24    4.828970e-03    4.777247e-03    1.132173e-05
          25    4.768412e-03    4.776893e-03    1.087438e-05
