#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    2.960000e-03    2.960000e-03    0.000000e+00
           2    2.950000e-03    2.955000e-03    3.535534e-06
           3    8.326000e-03    4.745333e-03    1.461803e-03
           4   -1.920000e-03    3.079000e-03    1.812316e-03
           5    2.610000e-03    2.985200e-03    1.452278e-03
           6   -4.152000e-03    1.795667e-03    1.625982e-03
           7    1.045400e-02    3.032571e-03    1.803821e-03
           8    7.084000e-03    3.539000e-03    1.647901e-03
           9   -2.116000e-03    2.910667e-03    1.580056e-03
          10    5.938000e-03    3.213400e-03    1.450762e-03
          11   -4.108000e-03    2.547818e-03    1.463611e-03
          12    4.666000e-03    2.724333e-03    1.352245e-03
          13   -5.410000e-03    2.098615e-03    1.385451e-03
          14    4.084000e-03    2.240429e-03    1.293728e-03
          15    2.494000e-03    2.257333e-03    1.207590e-03
          16   -7.672000e-03    1.636750e-03    1.281694e-03
          17   -1.596000e-03    1.446588e-03    1.220326e-03
          18    1.926000e-03    1.473222e-03    1.152820e-03
          19    4.120000e-04    1.417368e-03    1.093498e-03
          20    4.358000e-03    1.564400e-03    1.048661e-03
          21    1.600000e-03    1.566095e-03    9.987263e-04
          22   -9.730000e-03    1.052636e-03    1.077262e-03
          23    3.892000e-03    1.176087e-03    1.037474e-03
          24    2.238000e-03    1.220333e-03    9.951891e-04
          25   -5.608000e-03    9.472000e-04    9.921550e-04
