#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1    1.776439e+00    1.776439e+00    0.000000e+00
           2    1.766174e+00    1.771306e+00    3.629276e-03
           3    1.798535e+00    1.780382e+00    7.795654e-03
           4    1.782327e+00    1.780869e+00    5.861876e-03
           5    1.838329e+00    1.792361e+00    1.129807e-02
           6    1.788242e+00    1.791674e+00    9.435885e-03
           7    1.810480e+00    1.794361e+00    8.461710e-03
           8    1.766007e+00    1.790817e+00    8.112375e-03
           9    1.778281e+00    1.789424e+00    7.329593e-03
          10    1.779897e+00    1.788471e+00    6.658256e-03
          11    1.738930e+00    1.783967e+00    7.421441e-03
          12    1.799797e+00    1.785286e+00    6.919224e-03
          13    1.826654e+00    1.788469e+00    7.080981e-03
          14    1.807561e+00    1.789832e+00    6.705236e-03
          15    1.821392e+00    1.791936e+00    6.580040e-03
          16    1.828334e+00    1.794211e+00    6.550221e-03
          17    1.743570e+00    1.791232e+00    6.808662e-03
          18    1.824057e+00    1.793056e+00    6.670147e-03
          19    1.778779e+00    1.792304e+00    6.361268e-03
          20    1.827376e+00    1.794058e+00    6.280255e-03
          21    1.858898e+00    1.797146e+00    6.697326e-03
          22    1.806329e+00    1.797563e+00    6.405898e-03
          23    1.764329e+00    1.796118e+00    6.288236e-03
          24    1.774407e+00    1.795214e+00    6.090950e-03
          25    1.770615e+00    1.794230e+00    5.926253e-03
