#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -5.166480e-01   -5.166480e-01    0.000000e+00
           2   -5.152400e-01   -5.159440e-01    4.978032e-04
           3   -5.156360e-01   -5.158413e-01    3.422921e-04
           4   -5.176560e-01   -5.162950e-01    4.693237e-04
           5   -5.172400e-01   -5.164840e-01    4.117599e-04
           6   -5.140840e-01   -5.160840e-01    5.010726e-04
           7   -5.177840e-01   -5.163269e-01    4.847848e-04
           8   -5.167400e-01   -5.163785e-01    4.269285e-04
           9   -5.153760e-01   -5.162671e-01    3.937551e-04
          10   -5.146480e-01   -5.161052e-01    3.862364e-04
          11   -5.151680e-01   -5.160200e-01    3.603987e-04
          12   -5.163520e-01   -5.160477e-01    3.314257e-04
          13   -5.155640e-01   -5.160105e-01    3.080126e-04
          14   -5.176440e-01   -5.161271e-01    3.073187e-04
          15   -5.146480e-01   -5.160285e-01    3.022374e-04
          16   -5.175880e-01   -5.161260e-01    2.986501e-04
          17   -5.164080e-01   -5.161426e-01    2.815427e-04
          18   -5.180320e-01   -5.162476e-01    2.847975e-04
          19   -5.172960e-01   -5.163027e-01    2.751021e-04
          20   -5.173080e-01   -5.163530e-01    2.658991e-04
          21   -5.175680e-01   -5.164109e-01    2.594554e-04
          22   -5.166160e-01   -5.164202e-01    2.478295e-04
          23   -5.141760e-01   -5.163226e-01    2.555412e-04
          24   -5.162800e-01   -5.163208e-01    2.448999e-04
          25   -5.160480e-01   -5.163099e-01    2.353469e-04
