#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    4.560000e-04    4.560000e-04    0.000000e+00
           2   -1.572000e-03   -5.580000e-04    7.170063e-04
           3   -5.790000e-03   -2.302000e-03    1.502058e-03
           4   -5.088000e-03   -2.998500e-03    1.277863e-03
           5   -4.480000e-03   -3.294800e-03    1.056084e-03
           6    1.316000e-03   -2.526333e-03    1.125451e-03
           7    7.920000e-04   -2.052286e-03    1.059817e-03
           8    3.860000e-04   -1.747500e-03    9.701758e-04
           9    1.912000e-03   -1.340889e-03    9.437473e-04
          10   -1.680000e-04   -1.223600e-03    8.566299e-04
          11    4.166000e-03   -7.336364e-04    9.081293e-04
          12   -3.108000e-03   -9.315000e-04    8.537351e-04
          13    2.576000e-03   -6.616923e-04    8.296023e-04
          14   -2.940000e-04   -6.354286e-04    7.707606e-04
          15   -9.600000e-05   -5.994667e-04    7.202151e-04
          16    2.440000e-03   -4.095000e-04    6.998065e-04
          17   -3.640000e-04   -4.068235e-04    6.586465e-04
          18    1.906000e-03   -2.783333e-04    6.344643e-04
          19   -3.142000e-03   -4.290526e-04    6.187145e-04
          20   -1.052000e-03   -4.602000e-04    5.885623e-04
          21   -2.000000e-03   -5.335238e-04    5.650844e-04
          22   -3.416000e-03   -6.645455e-04    5.543802e-04
          23    3.402000e-03   -4.877391e-04    5.577586e-04
          24    2.476000e-03   -3.642500e-04    5.480186e-04
          25    4.854000e-03   -1.555200e-04    5.644506e-04
