#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1    8.899712e-01    8.899712e-01    0.000000e+00
           2    8.923552e-01    8.911632e-01    8.428713e-04
           3    8.888240e-01    8.903835e-01    8.491586e-04
           4    8.937888e-01    8.912348e-01    9.742579e-04
           5    9.224768e-01    8.974832e-01    5.642825e-03
           6    8.811840e-01    8.947667e-01    5.316179e-03
           7    9.148864e-01    8.976409e-01    5.276823e-03
           8    9.072752e-01    8.988452e-01    4.752656e-03
           9    8.731200e-01    8.959868e-01    5.010938e-03
          10    8.901760e-01    8.954058e-01    4.543411e-03
          11    9.125232e-01    8.969619e-01    4.388780e-03
          12    9.058976e-01    8.977065e-01    4.085732e-03
          13    8.749920e-01    8.959593e-01    4.128185e-03
          14    8.920176e-01    8.956777e-01    3.842903e-03
          15    8.754464e-01    8.943290e-01    3.816065e-03
          16    9.037856e-01    8.949200e-01    3.623042e-03
          17    8.802144e-01    8.940550e-01    3.511672e-03
          18    8.816848e-01    8.933677e-01    3.383156e-03
          19    9.000784e-01    8.937209e-01    3.223479e-03
          20    8.981568e-01    8.939427e-01    3.069926e-03
          21    8.826944e-01    8.934071e-01    2.970099e-03
          22    8.901504e-01    8.932591e-01    2.838781e-03
          23    9.180624e-01    8.943375e-01    2.912998e-03
          24    8.709568e-01    8.933633e-01    2.950028e-03
          25    8.997776e-01    8.936198e-01    2.843163e-03
