#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    4.946380e-02    4.946380e-02    0.000000e+00
           2    4.984348e-02    4.965364e-02    1.342374e-04
           3    5.159690e-02    5.030139e-02    5.364074e-04
           4    4.829110e-02    4.979882e-02    5.926926e-04
           5    5.378132e-02    5.059532e-02    8.557763e-04
           6    4.715302e-02    5.002160e-02    8.848001e-04
           7    5.179602e-02    5.027509e-02    7.938814e-04
           8    4.952663e-02    5.018153e-02    7.001373e-04
           9    5.069853e-02    5.023898e-02    6.246964e-04
          10    5.247912e-02    5.046299e-02    6.010518e-04
          11    5.338212e-02    5.072837e-02    6.021516e-04
          12    4.932826e-02    5.061169e-02    5.631627e-04
          13    5.162279e-02    5.068947e-02    5.251858e-04
          14    5.229357e-02    5.080405e-02    5.000150e-04
          15    4.386598e-02    5.034151e-02    6.461188e-04
          16    4.938618e-02    5.028180e-02    6.084889e-04
          17    5.266874e-02    5.042221e-02    5.886721e-04
          18    5.198877e-02    5.050924e-02    5.623648e-04
          19    5.107672e-02    5.053911e-02    5.335592e-04
          20    4.840295e-02    5.043230e-02    5.174612e-04
          21    4.934564e-02    5.038055e-02    4.954008e-04
          22    5.113916e-02    5.041504e-02    4.740811e-04
          23    5.059387e-02    5.042281e-02    4.535326e-04
          24    5.489257e-02    5.060905e-02    4.713258e-04
          25    4.919483e-02    5.055248e-02    4.558548e-04
          26    4.924405e-02    5.050216e-02    4.410910e-04
          27    4.985666e-02    5.047825e-02    4.254017e-04
          28    4.779502e-02    5.038242e-02    4.208641e-04
          29    5.210337e-02    5.044176e-02    4.105140e-04
          30    4.934846e-02    5.040532e-02    3.984446e-04
          31    5.499272e-02    5.055330e-02    4.121561e-04
          32    4.625757e-02    5.041906e-02    4.205701e-04
          33    5.143623e-02    5.044988e-02    4.089535e-04
          34    5.258618e-02    5.051272e-02    4.017233e-04
          35    5.395122e-02    5.061096e-02    4.020789e-04
          36    4.826664e-02    5.054584e-02    3.961483e-04
          37    4.976576e-02    5.052475e-02    3.860022e-04
          38    5.296462e-02    5.058896e-02    3.811469e-04
          39    5.153606e-02    5.061325e-02    3.721467e-04
          40    4.754305e-02    5.053649e-02    3.706739e-04
          41    5.311547e-02    5.059939e-02    3.669313e-04
          42    5.170184e-02    5.062564e-02    3.591325e-04
          43    5.401166e-02    5.070439e-02    3.593098e-04
          44    5.097861e-02    5.071062e-02    3.511977e-04
          45    5.091047e-02    5.071506e-02    3.434214e-04
          46    5.221646e-02    5.074770e-02    3.375032e-04
          47    5.100935e-02    5.075327e-02    3.303682e-04
          48    5.296525e-02    5.079935e-02    3.266837e-04
          49    5.301414e-02    5.084455e-02    3.231285e-04
          50    5.261380e-02    5.087993e-02    3.185975e-04
          51    4.818376e-02    5.082707e-02    3.167062e-04
          52    4.879218e-02    5.078794e-02    3.130240e-04
          53    5.081019e-02    5.078836e-02    3.071182e-04
          54    4.913200e-02    5.075768e-02    3.029587e-04
          55    5.185609e-02    5.077765e-02    2.981079e-04
          56    5.142040e-02    5.078913e-02    2.930054e-04
          57    5.399819e-02    5.084543e-02    2.932238e-04
          58    5.007449e-02    5.083214e-02    2.884694e-04
          59    4.938670e-02    5.080764e-02    2.846185e-04
          60    4.884113e-02    5.077486e-02    2.817556e-04
          61    4.956205e-02    5.075498e-02    2.778373e-04
          62    4.750587e-02    5.070258e-02    2.782544e-04
          63    5.266871e-02    5.073379e-02    2.755822e-04
          64    4.710373e-02    5.067707e-02    2.770517e-04
          65    5.074387e-02    5.067809e-02    2.727913e-04
          66    5.383815e-02    5.072597e-02    2.728276e-04
          67    5.045944e-02    5.072199e-02    2.687845e-04
          68    5.122200e-02    5.072935e-02    2.649324e-04
          69    5.443889e-02    5.078311e-02    2.664917e-04
          70    4.928953e-02    5.076177e-02    2.635375e-04
          71    5.461414e-02    5.081603e-02    2.653525e-04
          72    4.730572e-02    5.076728e-02    2.661083e-04
          73    4.778406e-02    5.072641e-02    2.655823e-04
          74    4.985506e-02    5.071464e-02    2.622542e-04
          75    5.499583e-02    5.077172e-02    2.648970e-04
          76    4.758877e-02    5.072984e-02    2.647016e-04
          77    5.030938e-02    5.072438e-02    2.613202e-04
          78    5.113859e-02    5.072969e-02    2.580239e-04
          79    4.994859e-02    5.071980e-02    2.549471e-04
          80    5.270447e-02    5.074461e-02    2.529644e-04
          81    5.175982e-02    5.075714e-02    2.501517e-04
          82    5.532321e-02    5.081283e-02    2.532229e-04
          83    5.269617e-02    5.083552e-02    2.511866e-04
          84    5.211762e-02    5.085078e-02    2.486596e-04
          85    5.171785e-02    5.086098e-02    2.459433e-04
          86    4.978689e-02    5.084849e-02    2.434004e-04
          87    4.834573e-02    5.081972e-02    2.422967e-04
          88    4.882514e-02    5.079706e-02    2.406012e-04
          89    4.911012e-02    5.077810e-02    2.386432e-04
          90    5.064330e-02    5.077661e-02    2.359963e-04
          91    4.801249e-02    5.074623e-02    2.353496e-04
          92    5.119821e-02    5.075114e-02    2.328427e-04
          93    5.318670e-02    5.077733e-02    2.318071e-04
          94    5.134738e-02    5.078340e-02    2.294204e-04
          95    5.104619e-02    5.078616e-02    2.270221e-04
          96    4.958823e-02    5.077368e-02    2.250000e-04
          97    5.214444e-02    5.078782e-02    2.231238e-04
          98    4.950569e-02    5.077473e-02    2.212302e-04
          99    5.320286e-02    5.079926e-02    2.203509e-04
         100    4.833273e-02    5.077459e-02    2.195235e-04
