#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1    1.758895e+00    1.758895e+00    0.000000e+00
           2    1.782305e+00    1.770600e+00    8.276707e-03
           3    1.755579e+00    1.765593e+00    6.867265e-03
           4    1.789948e+00    1.771682e+00    7.371021e-03
           5    1.797331e+00    1.776811e+00    7.471544e-03
           6    1.785763e+00    1.778303e+00    6.373485e-03
           7    1.866856e+00    1.790954e+00    1.292346e-02
           8    1.815273e+00    1.793994e+00    1.166009e-02
           9    1.781956e+00    1.792656e+00    1.044095e-02
          10    1.777898e+00    1.791180e+00    9.500593e-03
          11    1.803090e+00    1.792263e+00    8.698377e-03
          12    1.805891e+00    1.793399e+00    8.047303e-03
          13    1.844582e+00    1.797336e+00    8.335955e-03
          14    1.859679e+00    1.801789e+00    8.850378e-03
          15    1.801346e+00    1.801759e+00    8.260402e-03
          16    1.780172e+00    1.800410e+00    7.853537e-03
          17    1.797492e+00    1.800238e+00    7.393440e-03
          18    1.789302e+00    1.799631e+00    7.007616e-03
          19    1.787631e+00    1.798999e+00    6.667195e-03
          20    1.828783e+00    1.800488e+00    6.498022e-03
          21    1.819371e+00    1.801388e+00    6.250493e-03
          22    1.805030e+00    1.801553e+00    5.968573e-03
          23    1.830850e+00    1.802827e+00    5.843408e-03
          24    1.844794e+00    1.804576e+00    5.855728e-03
          25    1.836184e+00    1.805840e+00    5.756379e-03
          26    1.824224e+00    1.806547e+00    5.578238e-03
          27    1.800054e+00    1.806307e+00    5.376817e-03
          28    1.712806e+00    1.802967e+00    6.134715e-03
          29    1.803839e+00    1.802997e+00    5.923246e-03
          30    1.783805e+00    1.802358e+00    5.760250e-03
          31    1.840226e+00    1.803579e+00    5.702490e-03
          32    1.807461e+00    1.803700e+00    5.525577e-03
          33    1.803940e+00    1.803708e+00    5.358140e-03
          34    1.878487e+00    1.805907e+00    5.633898e-03
          35    1.876114e+00    1.807913e+00    5.819077e-03
          36    1.851040e+00    1.809111e+00    5.779434e-03
          37    1.848867e+00    1.810185e+00    5.722243e-03
          38    1.868344e+00    1.811716e+00    5.772704e-03
          39    1.801848e+00    1.811463e+00    5.630229e-03
          40    1.825010e+00    1.811802e+00    5.499650e-03
          41    1.873240e+00    1.813300e+00    5.565918e-03
          42    1.852853e+00    1.814242e+00    5.512489e-03
          43    1.875741e+00    1.815672e+00    5.566737e-03
          44    1.854079e+00    1.816545e+00    5.508229e-03
          45    1.848175e+00    1.817248e+00    5.430486e-03
          46    1.947477e+00    1.820079e+00    6.005218e-03
          47    1.896941e+00    1.821714e+00    6.096057e-03
          48    1.873005e+00    1.822783e+00    6.061986e-03
          49    1.861473e+00    1.823572e+00    5.989474e-03
          50    1.865065e+00    1.824402e+00    5.926895e-03
          51    1.877667e+00    1.825447e+00    5.901983e-03
          52    1.843697e+00    1.825798e+00    5.798909e-03
          53    1.851822e+00    1.826289e+00    5.710247e-03
          54    1.853192e+00    1.826787e+00    5.626193e-03
          55    1.878652e+00    1.827730e+00    5.602371e-03
          56    1.850069e+00    1.828129e+00    5.516512e-03
          57    1.849977e+00    1.828512e+00    5.433031e-03
          58    1.827723e+00    1.828498e+00    5.339375e-03
          59    1.818368e+00    1.828327e+00    5.251638e-03
          60    1.823242e+00    1.828242e+00    5.164794e-03
          61    1.805909e+00    1.827876e+00    5.093085e-03
          62    1.839785e+00    1.828068e+00    5.014560e-03
          63    1.854330e+00    1.828485e+00    4.952259e-03
          64    1.827759e+00    1.828474e+00    4.874893e-03
          65    1.819729e+00    1.828339e+00    4.801751e-03
          66    1.878803e+00    1.829104e+00    4.789487e-03
          67    1.897253e+00    1.830121e+00    4.824801e-03
          68    1.944297e+00    1.831800e+00    5.037545e-03
          69    1.901772e+00    1.832814e+00    5.065580e-03
          70    1.814223e+00    1.832548e+00    5.000171e-03
          71    1.887209e+00    1.833318e+00    4.988662e-03
          72    1.889318e+00    1.834096e+00    4.979637e-03
          73    1.888788e+00    1.834845e+00    4.967463e-03
          74    1.824598e+00    1.834707e+00    4.902265e-03
          75    1.809569e+00    1.834372e+00    4.848346e-03
          76    1.785666e+00    1.833731e+00    4.826722e-03
          77    1.784171e+00    1.833087e+00    4.806759e-03
          78    1.823694e+00    1.832967e+00    4.746643e-03
          79    1.810992e+00    1.832688e+00    4.694702e-03
          80    1.770075e+00    1.831906e+00    4.700806e-03
          81    1.834101e+00    1.831933e+00    4.642850e-03
          82    1.893873e+00    1.832688e+00    4.647270e-03
          83    1.832366e+00    1.832684e+00    4.591280e-03
          84    1.835309e+00    1.832716e+00    4.536729e-03
          85    1.809694e+00    1.832445e+00    4.491432e-03
          86    1.812747e+00    1.832216e+00    4.445043e-03
          87    1.770557e+00    1.831507e+00    4.450092e-03
          88    1.780258e+00    1.830925e+00    4.437466e-03
          89    1.774586e+00    1.830292e+00    4.432528e-03
          90    1.779590e+00    1.829728e+00    4.418932e-03
          91    1.782122e+00    1.829205e+00    4.401231e-03
          92    1.796502e+00    1.828850e+00    4.367722e-03
          93    1.848607e+00    1.829062e+00    4.325921e-03
          94    1.825585e+00    1.829025e+00    4.280059e-03
          95    1.838113e+00    1.829121e+00    4.236075e-03
          96    1.808218e+00    1.828903e+00    4.197541e-03
          97    1.794925e+00    1.828553e+00    4.168858e-03
          98    1.790599e+00    1.828165e+00    4.144269e-03
          99    1.801595e+00    1.827897e+00    4.111089e-03
         100    1.770168e+00    1.827320e+00    4.110310e-03
