#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -3.341021e-01   -3.341021e-01    0.000000e+00
           2   -3.573453e-01   -3.457237e-01    8.217701e-03
           3   -3.305102e-01   -3.406525e-01    6.867178e-03
           4   -3.648886e-01   -3.467115e-01    7.352560e-03
           5   -3.722770e-01   -3.518246e-01    7.450739e-03
           6   -3.607641e-01   -3.533145e-01    6.356170e-03
           7   -4.417814e-01   -3.659527e-01    1.290686e-02
           8   -3.902055e-01   -3.689843e-01    1.164409e-02
           9   -3.569343e-01   -3.676454e-01    1.042700e-02
          10   -3.529047e-01   -3.661713e-01    9.487920e-03
          11   -3.781104e-01   -3.672567e-01    8.687240e-03
          12   -3.809533e-01   -3.683981e-01    8.037935e-03
          13   -4.197634e-01   -3.723493e-01    8.334378e-03
          14   -4.348026e-01   -3.768102e-01    8.852786e-03
          15   -3.763741e-01   -3.767811e-01    8.262648e-03
          16   -3.552361e-01   -3.754346e-01    7.855191e-03
          17   -3.726026e-01   -3.752680e-01    7.394888e-03
          18   -3.643143e-01   -3.746594e-01    7.009055e-03
          19   -3.627389e-01   -3.740320e-01    6.668178e-03
          20   -4.038627e-01   -3.755236e-01    6.499441e-03
          21   -3.944591e-01   -3.764253e-01    6.252178e-03
          22   -3.801502e-01   -3.765946e-01    5.970280e-03
          23   -4.059404e-01   -3.778705e-01    5.845450e-03
          24   -4.199753e-01   -3.796249e-01    5.859243e-03
          25   -4.113685e-01   -3.808946e-01    5.760812e-03
          26   -3.994100e-01   -3.816067e-01    5.583085e-03
          27   -3.751149e-01   -3.813663e-01    5.381479e-03
          28   -2.879223e-01   -3.780290e-01    6.137456e-03
          29   -3.790259e-01   -3.780634e-01    5.925916e-03
          30   -3.589532e-01   -3.774264e-01    5.762521e-03
          31   -4.153143e-01   -3.786486e-01    5.704770e-03
          32   -3.826060e-01   -3.787722e-01    5.527836e-03
          33   -3.791894e-01   -3.787849e-01    5.360340e-03
          34   -4.536604e-01   -3.809871e-01    5.636936e-03
          35   -4.512718e-01   -3.829952e-01    5.822598e-03
          36   -4.261680e-01   -3.841945e-01    5.783041e-03
          37   -4.239138e-01   -3.852680e-01    5.725512e-03
          38   -4.433689e-01   -3.867969e-01    5.775386e-03
          39   -3.769089e-01   -3.865434e-01    5.632861e-03
          40   -4.001636e-01   -3.868839e-01    5.502322e-03
          41   -4.483216e-01   -3.883824e-01    5.568427e-03
          42   -4.279946e-01   -3.893255e-01    5.515140e-03
          43   -4.508582e-01   -3.907565e-01    5.569434e-03
          44   -4.292415e-01   -3.916312e-01    5.511109e-03
          45   -4.233242e-01   -3.923355e-01    5.433456e-03
          46   -5.226969e-01   -3.951694e-01    6.009115e-03
          47   -4.721311e-01   -3.968069e-01    6.100289e-03
          48   -4.481880e-01   -3.978773e-01    6.066390e-03
          49   -4.366771e-01   -3.986692e-01    5.994041e-03
          50   -4.403200e-01   -3.995022e-01    5.931762e-03
          51   -4.528861e-01   -4.005489e-01    5.907087e-03
          52   -4.188347e-01   -4.009006e-01    5.803947e-03
          53   -4.270781e-01   -4.013945e-01    5.715416e-03
          54   -4.285615e-01   -4.018976e-01    5.631673e-03
          55   -4.540187e-01   -4.028453e-01    5.608445e-03
          56   -4.255048e-01   -4.032499e-01    5.522871e-03
          57   -4.252772e-01   -4.036363e-01    5.439482e-03
          58   -4.028547e-01   -4.036229e-01    5.345714e-03
          59   -3.934430e-01   -4.034503e-01    5.257893e-03
          60   -3.984948e-01   -4.033677e-01    5.170910e-03
          61   -3.812316e-01   -4.030048e-01    5.098858e-03
          62   -4.151741e-01   -4.032011e-01    5.020395e-03
          63   -4.297015e-01   -4.036218e-01    4.958297e-03
          64   -4.029452e-01   -4.036112e-01    4.880835e-03
          65   -3.948610e-01   -4.034766e-01    4.807601e-03
          66   -4.539610e-01   -4.042415e-01    4.795224e-03
          67   -4.723935e-01   -4.052587e-01    4.830336e-03
          68   -5.195694e-01   -4.069397e-01    5.043341e-03
          69   -4.770922e-01   -4.079564e-01    5.071694e-03
          70   -3.895249e-01   -4.076931e-01    5.006071e-03
          71   -4.625181e-01   -4.084653e-01    4.994762e-03
          72   -4.644225e-01   -4.092425e-01    4.985489e-03
          73   -4.639052e-01   -4.099913e-01    4.973111e-03
          74   -3.997712e-01   -4.098532e-01    4.907824e-03
          75   -3.848378e-01   -4.095196e-01    4.853707e-03
          76   -3.607964e-01   -4.088785e-01    4.831996e-03
          77   -3.593608e-01   -4.082355e-01    4.811846e-03
          78   -3.989436e-01   -4.081163e-01    4.751630e-03
          79   -3.862268e-01   -4.078392e-01    4.699555e-03
          80   -3.452761e-01   -4.070572e-01    4.705429e-03
          81   -4.091621e-01   -4.070832e-01    4.647409e-03
          82   -4.688480e-01   -4.078364e-01    4.651372e-03
          83   -4.073460e-01   -4.078305e-01    4.595336e-03
          84   -4.103509e-01   -4.078605e-01    4.540727e-03
          85   -3.846729e-01   -4.075877e-01    4.495494e-03
          86   -3.876734e-01   -4.073562e-01    4.449180e-03
          87   -3.455644e-01   -4.066459e-01    4.454370e-03
          88   -3.552878e-01   -4.060623e-01    4.441821e-03
          89   -3.496229e-01   -4.054281e-01    4.436950e-03
          90   -3.547055e-01   -4.048646e-01    4.423299e-03
          91   -3.571775e-01   -4.043405e-01    4.405624e-03
          92   -3.718726e-01   -4.039876e-01    4.371848e-03
          93   -4.239101e-01   -4.042018e-01    4.330085e-03
          94   -4.007189e-01   -4.041648e-01    4.284178e-03
          95   -4.132064e-01   -4.042600e-01    4.240139e-03
          96   -3.832373e-01   -4.040410e-01    4.201622e-03
          97   -3.700339e-01   -4.036904e-01    4.172907e-03
          98   -3.656620e-01   -4.033023e-01    4.148330e-03
          99   -3.766193e-01   -4.030328e-01    4.115174e-03
         100   -3.453066e-01   -4.024555e-01    4.114311e-03
