#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    2.770977e-03    2.770977e-03    0.000000e+00
           2    2.766603e-03    2.768790e-03    1.546426e-06
           3    2.755110e-03    2.764230e-03    3.863281e-06
           4    2.708855e-03    2.750386e-03    1.233410e-05
           5    2.718693e-03    2.744047e-03    1.138007e-05
           6    2.722804e-03    2.740507e-03    1.001903e-05
           7    2.680414e-03    2.731922e-03    1.170120e-05
           8    2.746221e-03    2.733710e-03    1.037416e-05
           9    2.722585e-03    2.732473e-03    9.294823e-06
          10    2.769504e-03    2.736177e-03    9.073051e-06
          11    2.728343e-03    2.735464e-03    8.276129e-06
          12    2.704977e-03    2.732924e-03    7.966874e-06
          13    2.763552e-03    2.735280e-03    7.694521e-06
          14    2.721297e-03    2.734281e-03    7.209443e-06
          15    2.716178e-03    2.733074e-03    6.829078e-06
          16    2.725455e-03    2.732598e-03    6.418841e-06
          17    2.784662e-03    2.735661e-03    6.732340e-06
          18    2.781964e-03    2.738233e-03    6.832119e-06
          19    2.754869e-03    2.739109e-03    6.528397e-06
          20    2.696905e-03    2.736998e-03    6.534121e-06
          21    2.749023e-03    2.737571e-03    6.248010e-06
          22    2.760978e-03    2.738635e-03    6.053919e-06
          23    2.702334e-03    2.737057e-03    5.992907e-06
          24    2.723545e-03    2.736494e-03    5.769587e-06
          25    2.722144e-03    2.735920e-03    5.567281e-06
