#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -3.807720e-01   -3.807720e-01    0.000000e+00
           2   -3.770720e-01   -3.789220e-01    1.308148e-03
           3   -3.809400e-01   -3.795947e-01    1.030635e-03
           4   -3.804640e-01   -3.798120e-01    7.955614e-04
           5   -3.799000e-01   -3.798296e-01    6.366438e-04
           6   -3.802720e-01   -3.799033e-01    5.347892e-04
           7   -3.808320e-01   -3.800360e-01    4.745610e-04
           8   -3.805280e-01   -3.800975e-01    4.192070e-04
           9   -3.806960e-01   -3.801640e-01    3.778661e-04
          10   -3.794000e-01   -3.800876e-01    3.477173e-04
          11   -3.798720e-01   -3.800680e-01    3.166586e-04
          12   -3.817360e-01   -3.802070e-01    3.193240e-04
          13   -3.823240e-01   -3.803698e-01    3.337106e-04
          14   -3.781960e-01   -3.802146e-01    3.441076e-04
          15   -3.791720e-01   -3.801451e-01    3.281115e-04
          16   -3.784560e-01   -3.800395e-01    3.241425e-04
          17   -3.801600e-01   -3.800466e-01    3.051528e-04
          18   -3.785280e-01   -3.799622e-01    2.996354e-04
          19   -3.803880e-01   -3.799846e-01    2.847018e-04
          20   -3.790920e-01   -3.799400e-01    2.739428e-04
          21   -3.821280e-01   -3.800442e-01    2.800115e-04
          22   -3.792720e-01   -3.800091e-01    2.694746e-04
          23   -3.788640e-01   -3.799593e-01    2.623171e-04
          24   -3.807520e-01   -3.799923e-01    2.534581e-04
          25   -3.802000e-01   -3.800006e-01    2.434558e-04
