#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    1.572720e-01    1.572720e-01    0.000000e+00
           2    1.579460e-01    1.576090e-01    2.382950e-04
           3    1.695660e-01    1.615947e-01    3.258158e-03
           4    1.154780e-01    1.500655e-01    1.027923e-02
           5    1.251540e-01    1.450832e-01    9.353217e-03
           6    1.629140e-01    1.480550e-01    8.252970e-03
           7    1.314960e-01    1.456894e-01    7.405243e-03
           8    1.951880e-01    1.518768e-01    8.688074e-03
           9    1.452060e-01    1.511356e-01    7.754285e-03
          10    1.425980e-01    1.502818e-01    7.025699e-03
          11    1.348360e-01    1.488776e-01    6.525809e-03
          12    1.555360e-01    1.494325e-01    6.005534e-03
          13    1.659680e-01    1.507045e-01    5.676672e-03
          14    1.626780e-01    1.515597e-01    5.335233e-03
          15    1.403680e-01    1.508136e-01    5.031451e-03
          16    1.363300e-01    1.499084e-01    4.797725e-03
          17    1.269020e-01    1.485551e-01    4.702502e-03
          18    1.406440e-01    1.481156e-01    4.461743e-03
          19    1.337580e-01    1.473599e-01    4.290429e-03
          20    1.347560e-01    1.467297e-01    4.121930e-03
          21    1.598580e-01    1.473549e-01    3.972772e-03
          22    1.209580e-01    1.461550e-01    3.969249e-03
          23    1.621080e-01    1.468486e-01    3.856799e-03
          24    1.755380e-01    1.480440e-01    3.876928e-03
          25    1.498460e-01    1.481161e-01    3.722521e-03
          26    1.286620e-01    1.473678e-01    3.653771e-03
          27    1.508720e-01    1.474976e-01    3.520751e-03
          28    1.503500e-01    1.475995e-01    3.396483e-03
          29    1.462560e-01    1.475532e-01    3.279679e-03
          30    1.450240e-01    1.474689e-01    3.171440e-03
