#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    1.425395e+00    1.425395e+00    0.000000e+00
           2    1.425193e+00    1.425294e+00    7.128853e-05
           3    1.425192e+00    1.425260e+00    5.503582e-05
           4    1.425106e+00    1.425222e+00    5.309921e-05
           5    1.425164e+00    1.425210e+00    4.372476e-05
           6    1.425143e+00    1.425199e+00    3.783544e-05
           7    1.425146e+00    1.425191e+00    3.316785e-05
           8    1.425183e+00    1.425190e+00    2.903880e-05
           9    1.425158e+00    1.425187e+00    2.603847e-05
          10    1.424996e+00    1.425168e+00    2.958480e-05
          11    1.425026e+00    1.425155e+00    2.956437e-05
          12    1.425073e+00    1.425148e+00    2.788382e-05
          13    1.425006e+00    1.425137e+00    2.780151e-05
          14    1.425018e+00    1.425129e+00    2.707719e-05
          15    1.424905e+00    1.425114e+00    2.908461e-05
          16    1.424876e+00    1.425099e+00    3.082211e-05
          17    1.424995e+00    1.425093e+00    2.961245e-05
          18    1.425122e+00    1.425094e+00    2.801258e-05
          19    1.425144e+00    1.425097e+00    2.665850e-05
          20    1.425148e+00    1.425099e+00    2.544795e-05
          21    1.425183e+00    1.425103e+00    2.454505e-05
          22    1.425139e+00    1.425105e+00    2.348249e-05
          23    1.425143e+00    1.425107e+00    2.251912e-05
          24    1.425203e+00    1.425111e+00    2.193887e-05
          25    1.425088e+00    1.425110e+00    2.108095e-05
          26    1.425128e+00    1.425111e+00    2.028135e-05
          27    1.425161e+00    1.425112e+00    1.961600e-05
          28    1.425171e+00    1.425114e+00    1.902754e-05
          29    1.425147e+00    1.425116e+00    1.840489e-05
          30    1.425118e+00    1.425116e+00    1.779153e-05
