#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    3.319172e-03    3.319172e-03    0.000000e+00
           2    3.293908e-03    3.306540e-03    8.931903e-06
           3    3.249585e-03    3.287555e-03    1.660558e-05
           4    3.255414e-03    3.279520e-03    1.426641e-05
           5    3.337576e-03    3.291131e-03    1.543097e-05
           6    3.255276e-03    3.285155e-03    1.396842e-05
           7    3.293854e-03    3.286398e-03    1.202808e-05
           8    3.340066e-03    3.293106e-03    1.225339e-05
           9    3.282208e-03    3.291895e-03    1.095157e-05
          10    3.342216e-03    3.296927e-03    1.095162e-05
          11    3.273876e-03    3.294832e-03    1.015453e-05
          12    3.291959e-03    3.294592e-03    9.311143e-06
          13    3.316814e-03    3.296302e-03    8.750402e-06
          14    3.320812e-03    3.298052e-03    8.298668e-06
          15    3.274332e-03    3.296471e-03    7.894656e-06
          16    3.281070e-03    3.295509e-03    7.459692e-06
          17    3.260749e-03    3.293464e-03    7.295725e-06
          18    3.278264e-03    3.292619e-03    6.939102e-06
          19    3.255253e-03    3.290653e-03    6.846913e-06
          20    3.262302e-03    3.289235e-03    6.649688e-06
          21    3.212355e-03    3.285574e-03    7.271302e-06
          22    3.277193e-03    3.285193e-03    6.950761e-06
          23    3.250289e-03    3.283676e-03    6.812210e-06
          24    3.253561e-03    3.282421e-03    6.642923e-06
          25    3.284638e-03    3.282510e-03    6.377798e-06
          26    3.287896e-03    3.282717e-03    6.135862e-06
          27    3.285199e-03    3.282809e-03    5.909296e-06
          28    3.186185e-03    3.279358e-03    6.629714e-06
          29    3.281713e-03    3.279439e-03    6.401601e-06
          30    3.296792e-03    3.280018e-03    6.214293e-06
