#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    1.910000e-02    1.910000e-02    0.000000e+00
           2    1.618000e-02    1.764000e-02    1.032376e-03
           3    2.612400e-02    2.046800e-02    2.409442e-03
           4    2.256200e-02    2.099150e-02    1.863084e-03
           5    2.398200e-02    2.158960e-02    1.583563e-03
           6    2.003800e-02    2.133100e-02    1.340585e-03
           7    2.093800e-02    2.127486e-02    1.150248e-03
           8    2.409000e-02    2.162675e-02    1.058926e-03
           9    2.168600e-02    2.163333e-02    9.412884e-04
          10    2.017200e-02    2.148720e-02    8.584281e-04
          11    2.326600e-02    2.164891e-02    7.954746e-04
          12    2.381400e-02    2.182933e-02    7.493670e-04
          13    2.570600e-02    2.212754e-02    7.487103e-04
          14    2.141000e-02    2.207629e-02    6.969830e-04
          15    2.399600e-02    2.220427e-02    6.621633e-04
          16    2.408600e-02    2.232187e-02    6.311360e-04
          17    2.432600e-02    2.243976e-02    6.049204e-04
          18    2.246800e-02    2.244133e-02    5.713158e-04
          19    2.868000e-02    2.276968e-02    6.285600e-04
          20    2.031200e-02    2.264680e-02    6.090256e-04
          21    2.131400e-02    2.258333e-02    5.833219e-04
          22    2.061600e-02    2.249391e-02    5.636200e-04
          23    2.582400e-02    2.263870e-02    5.574016e-04
          24    2.155000e-02    2.259333e-02    5.360191e-04
          25    2.362400e-02    2.263456e-02    5.161614e-04
          26    1.347600e-02    2.228231e-02    6.046751e-04
          27    2.028400e-02    2.220830e-02    5.867917e-04
          28    2.163800e-02    2.218793e-02    5.661882e-04
          29    2.089000e-02    2.214317e-02    5.484306e-04
          30    2.467000e-02    2.222740e-02    5.365784e-04
