#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1    1.823440e+00    1.823440e+00    0.000000e+00
           2    1.806802e+00    1.815121e+00    5.882320e-03
           3    1.818505e+00    1.816249e+00    4.028248e-03
           4    1.786507e+00    1.808814e+00    7.112789e-03
           5    1.824041e+00    1.811859e+00    6.308622e-03
           6    1.770171e+00    1.804911e+00    8.238111e-03
           7    1.837618e+00    1.809584e+00    8.280938e-03
           8    1.786553e+00    1.806705e+00    7.730042e-03
           9    1.854661e+00    1.812033e+00    8.511757e-03
          10    1.821984e+00    1.813028e+00    7.718527e-03
          11    1.772199e+00    1.809317e+00    7.858807e-03
          12    1.784304e+00    1.807232e+00    7.475216e-03
          13    1.750597e+00    1.802876e+00    8.070478e-03
          14    1.827744e+00    1.804652e+00    7.687013e-03
          15    1.754503e+00    1.801309e+00    7.868062e-03
          16    1.820642e+00    1.802517e+00    7.468519e-03
          17    1.807703e+00    1.802822e+00    7.035422e-03
          18    1.864791e+00    1.806265e+00    7.439358e-03
          19    1.763159e+00    1.803996e+00    7.385656e-03
          20    1.821982e+00    1.804895e+00    7.070910e-03
          21    1.787838e+00    1.804083e+00    6.780694e-03
          22    1.818617e+00    1.804744e+00    6.504584e-03
          23    1.852779e+00    1.806832e+00    6.548490e-03
          24    1.772709e+00    1.805410e+00    6.428137e-03
          25    1.853696e+00    1.807342e+00    6.454655e-03
          26    1.851691e+00    1.809048e+00    6.427836e-03
          27    1.820741e+00    1.809481e+00    6.204340e-03
          28    1.866398e+00    1.811513e+00    6.306971e-03
          29    1.831499e+00    1.812203e+00    6.127027e-03
          30    1.804981e+00    1.811962e+00    5.927520e-03
