#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    4.200600e-02    4.200600e-02    0.000000e+00
           2    3.676400e-02    3.938500e-02    1.853327e-03
           3    3.996000e-02    3.957667e-02    1.245423e-03
           4    3.801000e-02    3.918500e-02    9.937471e-04
           5    3.761200e-02    3.887040e-02    8.433266e-04
           6    2.527200e-02    3.660400e-02    2.185032e-03
           7    3.322000e-02    3.612057e-02    1.925620e-03
           8    4.000600e-02    3.660625e-02    1.745092e-03
           9    4.282400e-02    3.729711e-02    1.682396e-03
          10    3.854400e-02    3.742180e-02    1.518770e-03
          11    3.257400e-02    3.698109e-02    1.443225e-03
          12    3.374600e-02    3.671150e-02    1.347901e-03
          13    4.054400e-02    3.700631e-02    1.276049e-03
          14    3.947200e-02    3.718243e-02    1.196995e-03
          15    3.272200e-02    3.688507e-02    1.153540e-03
          16    4.545800e-02    3.742088e-02    1.199445e-03
          17    3.622400e-02    3.735047e-02    1.130954e-03
          18    3.587200e-02    3.726833e-02    1.071101e-03
          19    3.534000e-02    3.716684e-02    1.019525e-03
          20    3.142200e-02    3.687960e-02    1.008201e-03
          21    2.761400e-02    3.643838e-02    1.052317e-03
          22    2.266600e-02    3.581236e-02    1.176041e-03
          23    4.184200e-02    3.607452e-02    1.153759e-03
          24    4.101600e-02    3.628042e-02    1.123907e-03
          25    3.391600e-02    3.618584e-02    1.082923e-03
          26    2.191800e-02    3.563708e-02    1.172094e-03
          27    4.340000e-02    3.592459e-02    1.163413e-03
          28    2.847800e-02    3.565864e-02    1.151859e-03
          29    3.407000e-02    3.560386e-02    1.113442e-03
          30    3.469000e-02    3.557340e-02    1.076743e-03
