#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    4.931383e-03    4.931383e-03    0.000000e+00
           2    4.842554e-03    4.886969e-03    3.140574e-05
           3    4.802080e-03    4.858673e-03    3.117930e-05
           4    4.732912e-03    4.827232e-03    3.589146e-05
           5    4.790427e-03    4.819871e-03    2.945834e-05
           6    4.836272e-03    4.822605e-03    2.467511e-05
           7    4.822834e-03    4.822637e-03    2.115011e-05
           8    4.871793e-03    4.828782e-03    1.937835e-05
           9    4.892689e-03    4.835883e-03    1.848044e-05
          10    4.817807e-03    4.834075e-03    1.672056e-05
          11    4.814026e-03    4.832253e-03    1.529952e-05
          12    4.825337e-03    4.831676e-03    1.403541e-05
          13    4.840403e-03    4.832348e-03    1.297181e-05
          14    4.812633e-03    4.830939e-03    1.212145e-05
          15    4.788369e-03    4.828101e-03    1.164085e-05
          16    4.878671e-03    4.831262e-03    1.133424e-05
          17    4.871827e-03    4.833648e-03    1.091581e-05
          18    4.848401e-03    4.834468e-03    1.034010e-05
          19    4.923225e-03    4.839139e-03    1.079968e-05
          20    4.807328e-03    4.837549e-03    1.037616e-05
          21    4.847686e-03    4.838031e-03    9.893281e-06
          22    4.768347e-03    4.834864e-03    9.937714e-06
          23    4.831180e-03    4.834704e-03    9.506930e-06
          24    4.761896e-03    4.831670e-03    9.582611e-06
          25    4.823366e-03    4.831338e-03    9.205062e-06
          26    4.829391e-03    4.831263e-03    8.851326e-06
          27    4.812923e-03    4.830584e-03    8.549522e-06
          28    4.795638e-03    4.829336e-03    8.334780e-06
          29    4.819767e-03    4.829006e-03    8.053902e-06
          30    4.803727e-03    4.828163e-03    7.829395e-06
