#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -4.187584e-01   -4.187584e-01    0.000000e+00
           2   -4.163223e-01   -4.175404e-01    8.613126e-04
           3   -4.183832e-01   -4.178213e-01    6.183373e-04
           4   -4.174186e-01   -4.177206e-01    4.718783e-04
           5   -4.176564e-01   -4.177078e-01    3.776777e-04
           6   -4.177371e-01   -4.177127e-01    3.147630e-04
           7   -4.188880e-01   -4.178806e-01    3.113759e-04
           8   -4.184805e-01   -4.179556e-01    2.813399e-04
           9   -4.177374e-01   -4.179313e-01    2.511217e-04
          10   -4.180950e-01   -4.179477e-01    2.265425e-04
          11   -4.177207e-01   -4.179271e-01    2.068853e-04
          12   -4.201922e-01   -4.181158e-01    2.619671e-04
          13   -4.196006e-01   -4.182300e-01    2.655475e-04
          14   -4.176407e-01   -4.181879e-01    2.498939e-04
          15   -4.172298e-01   -4.181241e-01    2.412600e-04
          16   -4.177554e-01   -4.181010e-01    2.272786e-04
          17   -4.172505e-01   -4.180510e-01    2.193471e-04
          18   -4.162014e-01   -4.179482e-01    2.299744e-04
          19   -4.175162e-01   -4.179255e-01    2.189916e-04
          20   -4.160111e-01   -4.178298e-01    2.280041e-04
          21   -4.202286e-01   -4.179440e-01    2.440896e-04
          22   -4.169910e-01   -4.179007e-01    2.368070e-04
          23   -4.178574e-01   -4.178988e-01    2.265186e-04
          24   -4.181568e-01   -4.179096e-01    2.173351e-04
          25   -4.183970e-01   -4.179291e-01    2.095143e-04
          26   -4.188279e-01   -4.179636e-01    2.042885e-04
          27   -4.161223e-01   -4.178954e-01    2.077936e-04
          28   -4.178474e-01   -4.178937e-01    2.003794e-04
          29   -4.186834e-01   -4.179209e-01    1.953111e-04
          30   -4.170823e-01   -4.178930e-01    1.907909e-04
