#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1    1.073424e+00    1.073424e+00    0.000000e+00
           2    1.068140e+00    1.070782e+00    1.868019e-03
           3    1.094409e+00    1.078658e+00    6.549845e-03
           4    1.072816e+00    1.077197e+00    5.072592e-03
           5    1.069829e+00    1.075724e+00    4.266750e-03
           6    1.056286e+00    1.072484e+00    4.624741e-03
           7    1.107001e+00    1.077415e+00    6.046049e-03
           8    1.070501e+00    1.076551e+00    5.351703e-03
           9    1.093806e+00    1.078468e+00    5.088925e-03
          10    1.084889e+00    1.079110e+00    4.620361e-03
          11    1.108903e+00    1.081819e+00    4.930674e-03
          12    1.108855e+00    1.084072e+00    5.008155e-03
          13    1.067979e+00    1.082834e+00    4.773457e-03
          14    1.086514e+00    1.083097e+00    4.439727e-03
          15    1.075447e+00    1.082587e+00    4.172931e-03
          16    1.093589e+00    1.083274e+00    3.968380e-03
          17    1.106172e+00    1.084621e+00    3.956939e-03
          18    1.093689e+00    1.085125e+00    3.769039e-03
          19    1.078354e+00    1.084769e+00    3.587478e-03
          20    1.085566e+00    1.084809e+00    3.408326e-03
          21    1.080187e+00    1.084588e+00    3.253123e-03
          22    1.065365e+00    1.083715e+00    3.220463e-03
          23    1.115036e+00    1.085076e+00    3.356045e-03
          24    1.072713e+00    1.084561e+00    3.255508e-03
          25    1.099524e+00    1.085160e+00    3.179824e-03
          26    1.095040e+00    1.085540e+00    3.080146e-03
          27    1.098002e+00    1.086001e+00    3.000449e-03
          28    1.096468e+00    1.086375e+00    2.916480e-03
          29    1.097660e+00    1.086764e+00    2.841755e-03
          30    1.124852e+00    1.088034e+00    3.017328e-03
