#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    8.532000e-02    8.532000e-02    0.000000e+00
           2    7.457000e-02    7.994500e-02    3.800699e-03
           3    6.702000e-02    7.563667e-02    4.335277e-03
           4    7.306400e-02    7.499350e-02    3.298822e-03
           5    7.279800e-02    7.455440e-02    2.668121e-03
           6    7.790200e-02    7.511233e-02    2.281024e-03
           7    8.868600e-02    7.705143e-02    2.654354e-03
           8    6.792200e-02    7.591025e-02    2.556128e-03
           9    7.426200e-02    7.572711e-02    2.278665e-03
          10    7.523400e-02    7.567780e-02    2.051332e-03
          11    6.719400e-02    7.490655e-02    2.004598e-03
          12    6.543000e-02    7.411683e-02    1.987022e-03
          13    8.206800e-02    7.472846e-02    1.926008e-03
          14    6.538600e-02    7.406114e-02    1.900529e-03
          15    7.367400e-02    7.403533e-02    1.774002e-03
          16    7.735000e-02    7.424250e-02    1.675180e-03
          17    8.493800e-02    7.487165e-02    1.690661e-03
          18    7.019800e-02    7.461200e-02    1.616551e-03
          19    7.758000e-02    7.476821e-02    1.538998e-03
          20    8.375000e-02    7.521730e-02    1.526166e-03
          21    8.117200e-02    7.550086e-02    1.479599e-03
          22    7.877800e-02    7.564982e-02    1.419823e-03
          23    7.617200e-02    7.567252e-02    1.358273e-03
          24    7.682200e-02    7.572042e-02    1.302522e-03
          25    7.663000e-02    7.575680e-02    1.250930e-03
          26    7.003400e-02    7.553669e-02    1.222028e-03
          27    7.858600e-02    7.564963e-02    1.181975e-03
          28    7.068800e-02    7.547243e-02    1.152968e-03
          29    7.502800e-02    7.545710e-02    1.113312e-03
          30    7.940600e-02    7.558873e-02    1.083955e-03
