#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -5.462599e+00   -5.462599e+00    0.000000e+00
           2   -5.462753e+00   -5.462676e+00    5.450608e-05
           3   -5.461333e+00   -5.462228e+00    3.672116e-04
           4   -5.461266e+00   -5.461988e+00    3.453470e-04
           5   -5.461326e+00   -5.461855e+00    3.005501e-04
           6   -5.462821e+00   -5.462016e+00    2.903899e-04
           7   -5.461108e+00   -5.461886e+00    2.764016e-04
           8   -5.461534e+00   -5.461842e+00    2.453319e-04
           9   -5.461807e+00   -5.461838e+00    2.181047e-04
          10   -5.461529e+00   -5.461808e+00    1.984741e-04
          11   -5.461018e+00   -5.461736e+00    1.929889e-04
          12   -5.460944e+00   -5.461670e+00    1.878357e-04
          13   -5.462171e+00   -5.461708e+00    1.773058e-04
          14   -5.460519e+00   -5.461623e+00    1.838591e-04
          15   -5.461717e+00   -5.461630e+00    1.717082e-04
          16   -5.461423e+00   -5.461617e+00    1.614613e-04
          17   -5.460979e+00   -5.461579e+00    1.562632e-04
          18   -5.462688e+00   -5.461641e+00    1.592579e-04
          19   -5.461672e+00   -5.461642e+00    1.508842e-04
          20   -5.461488e+00   -5.461635e+00    1.435378e-04
          21   -5.461819e+00   -5.461644e+00    1.369707e-04
          22   -5.460794e+00   -5.461605e+00    1.360764e-04
          23   -5.461371e+00   -5.461595e+00    1.305403e-04
          24   -5.461522e+00   -5.461592e+00    1.251360e-04
          25   -5.461205e+00   -5.461576e+00    1.210838e-04
