#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    9.636104e+00    9.636104e+00    0.000000e+00
           2    9.609640e+00    9.622872e+00    9.356624e-03
           3    9.592434e+00    9.612726e+00    1.036999e-02
           4    9.602928e+00    9.610277e+00    8.061613e-03
           5    9.577567e+00    9.603735e+00    8.708135e-03
           6    9.632921e+00    9.608599e+00    8.507603e-03
           7    9.598280e+00    9.607125e+00    7.418846e-03
           8    9.604360e+00    9.606779e+00    6.499533e-03
           9    9.609092e+00    9.607036e+00    5.782439e-03
          10    9.619776e+00    9.608310e+00    5.342700e-03
          11    9.616901e+00    9.609091e+00    4.913749e-03
          12    9.569850e+00    9.605821e+00    5.485496e-03
          13    9.613066e+00    9.606378e+00    5.091762e-03
          14    9.613760e+00    9.606906e+00    4.755287e-03
          15    9.589429e+00    9.605741e+00    4.578774e-03
          16    9.619512e+00    9.606601e+00    4.372750e-03
          17    9.600101e+00    9.606219e+00    4.132213e-03
          18    9.605578e+00    9.606183e+00    3.902799e-03
          19    9.609790e+00    9.606373e+00    3.702003e-03
          20    9.628948e+00    9.607502e+00    3.684967e-03
          21    9.635828e+00    9.608851e+00    3.748237e-03
          22    9.599761e+00    9.608438e+00    3.600562e-03
          23    9.590290e+00    9.607649e+00    3.529414e-03
          24    9.595342e+00    9.607136e+00    3.419403e-03
          25    9.601076e+00    9.606893e+00    3.291207e-03
