#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -6.657160e+00   -6.657160e+00    0.000000e+00
           2   -6.663620e+00   -6.660390e+00    2.283930e-03
           3   -6.666358e+00   -6.662379e+00    2.226476e-03
           4   -6.658040e+00   -6.661294e+00    1.916051e-03
           5   -6.667333e+00   -6.662502e+00    1.875185e-03
           6   -6.657821e+00   -6.661722e+00    1.717275e-03
           7   -6.661611e+00   -6.661706e+00    1.472024e-03
           8   -6.664110e+00   -6.662006e+00    1.318328e-03
           9   -6.660980e+00   -6.661892e+00    1.176773e-03
          10   -6.656168e+00   -6.661320e+00    1.190223e-03
          11   -6.659209e+00   -6.661128e+00    1.097379e-03
          12   -6.668812e+00   -6.661768e+00    1.178047e-03
          13   -6.661884e+00   -6.661777e+00    1.087461e-03
          14   -6.659125e+00   -6.661588e+00    1.026152e-03
          15   -6.663150e+00   -6.661692e+00    9.630135e-04
          16   -6.658225e+00   -6.661475e+00    9.268878e-04
          17   -6.662391e+00   -6.661529e+00    8.739278e-04
          18   -6.665423e+00   -6.661746e+00    8.517355e-04
          19   -6.665430e+00   -6.661939e+00    8.286880e-04
          20   -6.660530e+00   -6.661869e+00    7.902445e-04
          21   -6.658278e+00   -6.661698e+00    7.708976e-04
          22   -6.662157e+00   -6.661719e+00    7.361396e-04
          23   -6.663823e+00   -6.661810e+00    7.097954e-04
          24   -6.661799e+00   -6.661810e+00    6.802208e-04
          25   -6.661640e+00   -6.661803e+00    6.530459e-04
