#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    9.607302e+00    9.607302e+00    0.000000e+00
           2    9.615694e+00    9.611498e+00    2.966989e-03
           3    9.619686e+00    9.614228e+00    2.979636e-03
           4    9.590991e+00    9.608418e+00    5.504983e-03
           5    9.631873e+00    9.613109e+00    6.082636e-03
           6    9.594058e+00    9.609934e+00    5.839072e-03
           7    9.642939e+00    9.614649e+00    6.641094e-03
           8    9.573616e+00    9.609520e+00    7.535729e-03
           9    9.604699e+00    9.608984e+00    6.717435e-03
          10    9.598347e+00    9.607920e+00    6.129335e-03
          11    9.608291e+00    9.607954e+00    5.572216e-03
          12    9.652833e+00    9.611694e+00    6.237935e-03
          13    9.594656e+00    9.610384e+00    5.894170e-03
          14    9.591372e+00    9.609026e+00    5.627418e-03
          15    9.604708e+00    9.608738e+00    5.259611e-03
          16    9.616047e+00    9.609195e+00    4.950688e-03
          17    9.628811e+00    9.610348e+00    4.792054e-03
          18    9.614898e+00    9.610601e+00    4.532489e-03
          19    9.606132e+00    9.610366e+00    4.300035e-03
          20    9.588752e+00    9.609285e+00    4.218653e-03
          21    9.566833e+00    9.607264e+00    4.475978e-03
          22    9.605803e+00    9.607197e+00    4.273017e-03
          23    9.616095e+00    9.607584e+00    4.104709e-03
          24    9.629186e+00    9.608484e+00    4.031159e-03
          25    9.630285e+00    9.609356e+00    3.963106e-03
          26    9.622096e+00    9.609846e+00    3.840851e-03
          27    9.601364e+00    9.609532e+00    3.711422e-03
          28    9.612600e+00    9.609642e+00    3.580489e-03
          29    9.607255e+00    9.609559e+00    3.457969e-03
          30    9.639146e+00    9.610546e+00    3.480499e-03
          31    9.610752e+00    9.610552e+00    3.368231e-03
          32    9.597260e+00    9.610137e+00    3.288486e-03
          33    9.591128e+00    9.609561e+00    3.238893e-03
          34    9.612137e+00    9.609637e+00    3.144518e-03
          35    9.610470e+00    9.609661e+00    3.054765e-03
          36    9.627322e+00    9.610151e+00    3.009046e-03
          37    9.606562e+00    9.610054e+00    2.929284e-03
          38    9.624528e+00    9.610435e+00    2.876856e-03
          39    9.618691e+00    9.610647e+00    2.810868e-03
          40    9.625514e+00    9.611018e+00    2.765061e-03
          41    9.600850e+00    9.610770e+00    2.708721e-03
          42    9.614621e+00    9.610862e+00    2.645778e-03
          43    9.595381e+00    9.610502e+00    2.608630e-03
          44    9.626493e+00    9.610865e+00    2.574534e-03
          45    9.599435e+00    9.610611e+00    2.529822e-03
          46    9.614066e+00    9.610687e+00    2.475940e-03
          47    9.630077e+00    9.611099e+00    2.457393e-03
          48    9.601604e+00    9.610901e+00    2.414147e-03
          49    9.589798e+00    9.610471e+00    2.402986e-03
          50    9.596750e+00    9.610196e+00    2.370543e-03
          51    9.626963e+00    9.610525e+00    2.346747e-03
          52    9.580829e+00    9.609954e+00    2.370082e-03
          53    9.595265e+00    9.609677e+00    2.341512e-03
          54    9.624645e+00    9.609954e+00    2.314499e-03
          55    9.559024e+00    9.609028e+00    2.450668e-03
          56    9.602365e+00    9.608909e+00    2.409793e-03
          57    9.607164e+00    9.608878e+00    2.367710e-03
          58    9.595595e+00    9.608649e+00    2.337938e-03
          59    9.619244e+00    9.608829e+00    2.305198e-03
          60    9.613320e+00    9.608904e+00    2.267994e-03
          61    9.641532e+00    9.609439e+00    2.293023e-03
          62    9.575473e+00    9.608891e+00    2.320560e-03
          63    9.615875e+00    9.609002e+00    2.286372e-03
          64    9.590543e+00    9.608713e+00    2.268765e-03
          65    9.630481e+00    9.609048e+00    2.258443e-03
          66    9.654696e+00    9.609740e+00    2.327722e-03
          67    9.632687e+00    9.610082e+00    2.318040e-03
          68    9.591699e+00    9.609812e+00    2.299662e-03
          69    9.613105e+00    9.609860e+00    2.266828e-03
          70    9.580598e+00    9.609442e+00    2.272662e-03
          71    9.611639e+00    9.609473e+00    2.240863e-03
          72    9.569667e+00    9.608920e+00    2.276918e-03
          73    9.631906e+00    9.609235e+00    2.267396e-03
          74    9.583964e+00    9.608893e+00    2.262325e-03
          75    9.613239e+00    9.608951e+00    2.232903e-03
          76    9.595509e+00    9.608774e+00    2.210516e-03
          77    9.594111e+00    9.608584e+00    2.189996e-03
          78    9.645858e+00    9.609062e+00    2.213443e-03
          79    9.571605e+00    9.608587e+00    2.235629e-03
          80    9.590344e+00    9.608359e+00    2.219283e-03
          81    9.589758e+00    9.608130e+00    2.203734e-03
          82    9.662243e+00    9.608790e+00    2.273519e-03
          83    9.600471e+00    9.608689e+00    2.248336e-03
          84    9.602433e+00    9.608615e+00    2.222803e-03
          85    9.621109e+00    9.608762e+00    2.201507e-03
          86    9.584705e+00    9.608482e+00    2.193608e-03
          87    9.617634e+00    9.608587e+00    2.170915e-03
          88    9.621290e+00    9.608732e+00    2.151039e-03
          89    9.591812e+00    9.608542e+00    2.135255e-03
          90    9.599228e+00    9.608438e+00    2.114036e-03
          91    9.628509e+00    9.608659e+00    2.102278e-03
          92    9.594800e+00    9.608508e+00    2.084818e-03
          93    9.643123e+00    9.608880e+00    2.095362e-03
          94    9.598662e+00    9.608772e+00    2.075888e-03
          95    9.593312e+00    9.608609e+00    2.060406e-03
          96    9.606323e+00    9.608585e+00    2.039081e-03
          97    9.610147e+00    9.608601e+00    2.018123e-03
          98    9.629153e+00    9.608811e+00    2.008396e-03
          99    9.586312e+00    9.608584e+00    2.000926e-03
         100    9.655020e+00    9.609048e+00    2.034088e-03
