#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    8.004120e-01    8.004120e-01    0.000000e+00
           2    8.004030e-01    8.004075e-01    3.205447e-06
           3    8.005044e-01    8.004398e-01    2.644639e-05
           4    8.027734e-01    8.010232e-01    5.056261e-04
           5    7.972257e-01    8.002637e-01    7.906203e-04
           6    8.020166e-01    8.005559e-01    7.107836e-04
           7    7.970092e-01    8.000492e-01    7.689029e-04
           8    8.032277e-01    8.004465e-01    7.686149e-04
           9    7.995544e-01    8.003474e-01    6.895756e-04
          10    7.966522e-01    7.999779e-01    7.127785e-04
          11    7.989555e-01    7.998849e-01    6.540118e-04
          12    7.962664e-01    7.995834e-01    6.654054e-04
          13    8.018632e-01    7.997588e-01    6.369112e-04
          14    8.017871e-01    7.999036e-01    6.076720e-04
          15    8.017161e-01    8.000245e-01    5.790489e-04
          16    7.996549e-01    8.000014e-01    5.433188e-04
          17    7.991621e-01    7.999520e-01    5.135971e-04
          18    7.988796e-01    7.998924e-01    4.885073e-04
          19    8.006791e-01    7.999338e-01    4.645476e-04
          20    8.023977e-01    8.000570e-01    4.573637e-04
          21    8.055651e-01    8.003193e-01    5.052262e-04
          22    7.999974e-01    8.003047e-01    4.824733e-04
          23    7.990063e-01    8.002482e-01    4.647868e-04
          24    7.985330e-01    8.001768e-01    4.508820e-04
          25    7.997018e-01    8.001578e-01    4.332468e-04
          26    7.979769e-01    8.000739e-01    4.246253e-04
          27    8.023841e-01    8.001594e-01    4.174306e-04
          28    8.005360e-01    8.001729e-01    4.027389e-04
          29    8.004592e-01    8.001828e-01    3.889723e-04
          30    7.961876e-01    8.000496e-01    3.981512e-04
          31    8.005849e-01    8.000669e-01    3.856819e-04
          32    8.013881e-01    8.001082e-01    3.758331e-04
          33    8.008344e-01    8.001302e-01    3.650879e-04
          34    8.004255e-01    8.001388e-01    3.544534e-04
          35    8.006813e-01    8.001543e-01    3.446648e-04
          36    7.991447e-01    8.001263e-01    3.362299e-04
          37    7.988760e-01    8.000925e-01    3.288362e-04
          38    7.992199e-01    8.000695e-01    3.209835e-04
          39    8.004315e-01    8.000788e-01    3.128873e-04
          40    7.975477e-01    8.000155e-01    3.113980e-04
          41    8.016942e-01    8.000565e-01    3.064827e-04
          42    7.960881e-01    7.999620e-01    3.134118e-04
          43    8.010550e-01    7.999874e-01    3.071521e-04
          44    7.974331e-01    7.999294e-01    3.056081e-04
          45    7.988203e-01    7.999047e-01    2.998089e-04
          46    7.985844e-01    7.998760e-01    2.946621e-04
          47    7.977797e-01    7.998314e-01    2.917490e-04
          48    8.015966e-01    7.998682e-01    2.879792e-04
          49    8.022409e-01    7.999166e-01    2.861441e-04
          50    8.021325e-01    7.999609e-01    2.838323e-04
          51    7.967107e-01    7.998972e-01    2.853320e-04
          52    8.044424e-01    7.999846e-01    2.929272e-04
          53    8.016477e-01    8.000160e-01    2.890761e-04
          54    7.975396e-01    7.999701e-01    2.873374e-04
          55    8.056213e-01    8.000729e-01    2.999216e-04
          56    7.982234e-01    8.000399e-01    2.963787e-04
          57    7.981728e-01    8.000071e-01    2.929835e-04
          58    8.013795e-01    8.000308e-01    2.888860e-04
          59    7.961258e-01    7.999646e-01    2.914728e-04
          60    7.981389e-01    7.999341e-01    2.881987e-04
          61    7.959341e-01    7.998686e-01    2.908386e-04
          62    8.047209e-01    7.999468e-01    2.964910e-04
          63    7.994442e-01    7.999389e-01    2.918921e-04
          64    8.017955e-01    7.999679e-01    2.887694e-04
          65    7.984013e-01    7.999438e-01    2.853308e-04
          66    7.959566e-01    7.998834e-01    2.873316e-04
          67    7.960713e-01    7.998265e-01    2.886212e-04
          68    8.029786e-01    7.998728e-01    2.880752e-04
          69    7.984166e-01    7.998517e-01    2.846723e-04
          70    8.035541e-01    7.999046e-01    2.854768e-04
          71    7.976128e-01    7.998723e-01    2.832750e-04
          72    8.029442e-01    7.999150e-01    2.825353e-04
          73    7.935257e-01    7.998275e-01    2.919070e-04
          74    7.995423e-01    7.998236e-01    2.879877e-04
          75    7.996229e-01    7.998209e-01    2.841603e-04
          76    8.013594e-01    7.998412e-01    2.811415e-04
          77    8.002437e-01    7.998464e-01    2.775389e-04
          78    7.945312e-01    7.997783e-01    2.822224e-04
          79    8.050656e-01    7.998452e-01    2.864761e-04
          80    8.022865e-01    7.998757e-01    2.845158e-04
          81    8.030549e-01    7.999150e-01    2.836975e-04
          82    7.929751e-01    7.998303e-01    2.925895e-04
          83    7.987725e-01    7.998176e-01    2.893417e-04
          84    7.995721e-01    7.998147e-01    2.859119e-04
          85    7.979975e-01    7.997933e-01    2.833464e-04
          86    8.017024e-01    7.998155e-01    2.809199e-04
          87    7.993546e-01    7.998102e-01    2.777409e-04
          88    7.974527e-01    7.997834e-01    2.758737e-04
          89    8.039422e-01    7.998301e-01    2.767031e-04
          90    8.006885e-01    7.998397e-01    2.737929e-04
          91    7.991442e-01    7.998320e-01    2.708909e-04
          92    8.027149e-01    7.998633e-01    2.697527e-04
          93    7.962535e-01    7.998245e-01    2.696304e-04
          94    8.002311e-01    7.998289e-01    2.667967e-04
          95    8.011157e-01    7.998424e-01    2.643319e-04
          96    8.006266e-01    7.998506e-01    2.617047e-04
          97    7.995185e-01    7.998471e-01    2.590291e-04
          98    7.972263e-01    7.998204e-01    2.577628e-04
          99    8.045944e-01    7.998686e-01    2.596306e-04
         100    7.941243e-01    7.998112e-01    2.633123e-04
