#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1    1.200618e+00    1.200618e+00    0.000000e+00
           2    1.200604e+00    1.200611e+00    4.808182e-06
           3    1.200757e+00    1.200660e+00    3.966959e-05
           4    1.204160e+00    1.201535e+00    7.584391e-04
           5    1.195839e+00    1.200396e+00    1.185930e-03
           6    1.203025e+00    1.200834e+00    1.066175e-03
           7    1.195514e+00    1.200074e+00    1.153354e-03
           8    1.204842e+00    1.200670e+00    1.152922e-03
           9    1.199332e+00    1.200521e+00    1.034363e-03
          10    1.194978e+00    1.199967e+00    1.069168e-03
          11    1.198433e+00    1.199827e+00    9.810177e-04
          12    1.194400e+00    1.199375e+00    9.981081e-04
          13    1.202795e+00    1.199638e+00    9.553668e-04
          14    1.202681e+00    1.199855e+00    9.115080e-04
          15    1.202574e+00    1.200037e+00    8.685733e-04
          16    1.199482e+00    1.200002e+00    8.149782e-04
          17    1.198743e+00    1.199928e+00    7.703957e-04
          18    1.198319e+00    1.199839e+00    7.327610e-04
          19    1.201019e+00    1.199901e+00    6.968214e-04
          20    1.203597e+00    1.200086e+00    6.860456e-04
          21    1.208348e+00    1.200479e+00    7.578394e-04
          22    1.199996e+00    1.200457e+00    7.237099e-04
          23    1.198509e+00    1.200372e+00    6.971802e-04
          24    1.197799e+00    1.200265e+00    6.763230e-04
          25    1.199553e+00    1.200237e+00    6.498702e-04
          26    1.196965e+00    1.200111e+00    6.369380e-04
          27    1.203576e+00    1.200239e+00    6.261458e-04
          28    1.200804e+00    1.200259e+00    6.041084e-04
          29    1.200689e+00    1.200274e+00    5.834585e-04
          30    1.194281e+00    1.200074e+00    5.972268e-04
          31    1.200877e+00    1.200100e+00    5.785229e-04
          32    1.202082e+00    1.200162e+00    5.637496e-04
          33    1.201252e+00    1.200195e+00    5.476319e-04
          34    1.200638e+00    1.200208e+00    5.316800e-04
          35    1.201022e+00    1.200232e+00    5.169972e-04
          36    1.198717e+00    1.200189e+00    5.043449e-04
          37    1.198314e+00    1.200139e+00    4.932543e-04
          38    1.198830e+00    1.200104e+00    4.814752e-04
          39    1.200647e+00    1.200118e+00    4.693309e-04
          40    1.196322e+00    1.200023e+00    4.670969e-04
          41    1.202541e+00    1.200085e+00    4.597241e-04
          42    1.194132e+00    1.199943e+00    4.701177e-04
          43    1.201582e+00    1.199981e+00    4.607282e-04
          44    1.196150e+00    1.199894e+00    4.584122e-04
          45    1.198230e+00    1.199857e+00    4.497134e-04
          46    1.197877e+00    1.199814e+00    4.419931e-04
          47    1.196669e+00    1.199747e+00    4.376235e-04
          48    1.202395e+00    1.199802e+00    4.319688e-04
          49    1.203361e+00    1.199875e+00    4.292161e-04
          50    1.203199e+00    1.199941e+00    4.257485e-04
          51    1.195066e+00    1.199846e+00    4.279980e-04
          52    1.206664e+00    1.199977e+00    4.393907e-04
          53    1.202472e+00    1.200024e+00    4.336142e-04
          54    1.196309e+00    1.199955e+00    4.310060e-04
          55    1.208432e+00    1.200109e+00    4.498823e-04
          56    1.197335e+00    1.200060e+00    4.445681e-04
          57    1.197259e+00    1.200011e+00    4.394753e-04
          58    1.202069e+00    1.200046e+00    4.333290e-04
          59    1.194189e+00    1.199947e+00    4.372092e-04
          60    1.197208e+00    1.199901e+00    4.322981e-04
          61    1.193901e+00    1.199803e+00    4.362579e-04
          62    1.207081e+00    1.199920e+00    4.447365e-04
          63    1.199166e+00    1.199908e+00    4.378382e-04
          64    1.202693e+00    1.199952e+00    4.331540e-04
          65    1.197602e+00    1.199916e+00    4.279962e-04
          66    1.193935e+00    1.199825e+00    4.309974e-04
          67    1.194107e+00    1.199740e+00    4.329319e-04
          68    1.204468e+00    1.199809e+00    4.321128e-04
          69    1.197625e+00    1.199778e+00    4.270084e-04
          70    1.205331e+00    1.199857e+00    4.282152e-04
          71    1.196419e+00    1.199808e+00    4.249125e-04
          72    1.204416e+00    1.199872e+00    4.238030e-04
          73    1.190289e+00    1.199741e+00    4.378605e-04
          74    1.199313e+00    1.199735e+00    4.319816e-04
          75    1.199434e+00    1.199731e+00    4.262405e-04
          76    1.202039e+00    1.199762e+00    4.217123e-04
          77    1.200366e+00    1.199770e+00    4.163084e-04
          78    1.191797e+00    1.199667e+00    4.233336e-04
          79    1.207598e+00    1.199768e+00    4.297141e-04
          80    1.203430e+00    1.199814e+00    4.267737e-04
          81    1.204582e+00    1.199872e+00    4.255463e-04
          82    1.189463e+00    1.199745e+00    4.388842e-04
          83    1.198159e+00    1.199726e+00    4.340126e-04
          84    1.199358e+00    1.199722e+00    4.288679e-04
          85    1.196996e+00    1.199690e+00    4.250195e-04
          86    1.202554e+00    1.199723e+00    4.213798e-04
          87    1.199032e+00    1.199715e+00    4.166113e-04
          88    1.196179e+00    1.199675e+00    4.138105e-04
          89    1.205913e+00    1.199745e+00    4.150546e-04
          90    1.201033e+00    1.199759e+00    4.106894e-04
          91    1.198716e+00    1.199748e+00    4.063363e-04
          92    1.204072e+00    1.199795e+00    4.046291e-04
          93    1.194380e+00    1.199737e+00    4.044456e-04
          94    1.200347e+00    1.199743e+00    4.001950e-04
          95    1.201674e+00    1.199764e+00    3.964979e-04
          96    1.200940e+00    1.199776e+00    3.925570e-04
          97    1.199278e+00    1.199771e+00    3.885436e-04
          98    1.195839e+00    1.199731e+00    3.866442e-04
          99    1.206892e+00    1.199803e+00    3.894459e-04
         100    1.191186e+00    1.199717e+00    3.949685e-04
