#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    2.743010e-03    2.743010e-03    0.000000e+00
           2    2.762922e-03    2.752966e-03    7.039879e-06
           3    2.701749e-03    2.735894e-03    1.470837e-05
           4    2.673201e-03    2.720221e-03    1.749080e-05
           5    2.765006e-03    2.729178e-03    1.612378e-05
           6    2.709162e-03    2.725842e-03    1.377727e-05
           7    2.749590e-03    2.729234e-03    1.221966e-05
           8    2.741506e-03    2.730768e-03    1.078805e-05
           9    2.743286e-03    2.732159e-03    9.678622e-06
          10    2.810468e-03    2.739990e-03    1.144852e-05
          11    2.703294e-03    2.736654e-03    1.088293e-05
          12    2.722364e-03    2.735463e-03    1.004096e-05
          13    2.747939e-03    2.736423e-03    9.314327e-06
          14    2.746670e-03    2.737155e-03    8.677729e-06
          15    2.766979e-03    2.739143e-03    8.323878e-06
          16    2.792846e-03    2.742500e-03    8.453310e-06
          17    2.760363e-03    2.743550e-03    8.021099e-06
          18    2.728538e-03    2.742716e-03    7.618720e-06
          19    2.772882e-03    2.744304e-03    7.381308e-06
          20    2.741693e-03    2.744173e-03    7.013397e-06
          21    2.751972e-03    2.744545e-03    6.689250e-06
          22    2.749902e-03    2.744788e-03    6.389624e-06
          23    2.728821e-03    2.744094e-03    6.149412e-06
          24    2.793563e-03    2.746155e-03    6.229061e-06
          25    2.727372e-03    2.745404e-03    6.025041e-06
          26    2.737382e-03    2.745095e-03    5.801204e-06
          27    2.776073e-03    2.746243e-03    5.698668e-06
          28    2.698767e-03    2.744547e-03    5.741850e-06
          29    2.767085e-03    2.745324e-03    5.596202e-06
          30    2.775437e-03    2.746328e-03    5.498942e-06
