#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1    8.979280e-01    8.979280e-01    0.000000e+00
           2    9.078752e-01    9.029016e-01    3.516866e-03
           3    8.898016e-01    8.985349e-01    4.267188e-03
           4    9.121952e-01    9.019500e-01    4.357696e-03
           5    8.994928e-01    9.014586e-01    3.513759e-03
           6    8.904480e-01    8.996235e-01    3.373465e-03
           7    8.947664e-01    8.989296e-01    2.962040e-03
           8    8.933600e-01    8.982334e-01    2.672351e-03
           9    8.765104e-01    8.958197e-01    3.289546e-03
          10    9.240512e-01    8.986429e-01    3.992273e-03
          11    8.959584e-01    8.983988e-01    3.636790e-03
          12    9.050064e-01    8.989495e-01    3.375151e-03
          13    9.113328e-01    8.999020e-01    3.247164e-03
          14    8.806400e-01    8.985262e-01    3.293835e-03
          15    8.930032e-01    8.981580e-01    3.094757e-03
          16    8.949360e-01    8.979566e-01    2.907879e-03
          17    9.025392e-01    8.982262e-01    2.749293e-03
          18    9.207312e-01    8.994764e-01    2.866784e-03
          19    8.811088e-01    8.985097e-01    2.874278e-03
          20    9.080256e-01    8.989855e-01    2.769664e-03
          21    8.988816e-01    8.989806e-01    2.637780e-03
          22    8.679104e-01    8.975683e-01    2.871167e-03
          23    9.014080e-01    8.977352e-01    2.751183e-03
          24    8.981696e-01    8.977533e-01    2.636610e-03
          25    8.966784e-01    8.977103e-01    2.531496e-03
          26    8.765312e-01    8.968958e-01    2.561838e-03
          27    8.966512e-01    8.968867e-01    2.466971e-03
          28    8.846000e-01    8.964479e-01    2.417577e-03
          29    9.063552e-01    8.967895e-01    2.358227e-03
          30    9.050816e-01    8.970659e-01    2.295760e-03
