#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    1.000000e+00    1.000000e+00    0.000000e+00
           2    1.000000e+00    1.000000e+00    0.000000e+00
           3    1.000000e+00    1.000000e+00    0.000000e+00
           4    1.000000e+00    1.000000e+00    0.000000e+00
           5    1.000000e+00    1.000000e+00    0.000000e+00
           6    1.000000e+00    1.000000e+00    0.000000e+00
           7    1.000000e+00    1.000000e+00    0.000000e+00
           8    9.992160e-01    9.999020e-01    9.167061e-05
           9    9.999980e-01    9.999127e-01    8.210322e-05
          10    1.000000e+00    9.999214e-01    7.435593e-05
          11    1.000000e+00    9.999285e-01    6.793876e-05
          12    1.000000e+00    9.999345e-01    6.253760e-05
          13    9.992960e-01    9.998854e-01    7.455982e-05
          14    1.000000e+00    9.998936e-01    6.968213e-05
          15    1.000000e+00    9.999007e-01    6.539689e-05
          16    1.000000e+00    9.999069e-01    6.160356e-05
          17    1.000000e+00    9.999124e-01    5.822287e-05
          18    1.000000e+00    9.999172e-01    5.519150e-05
          19    1.000000e+00    9.999216e-01    5.245836e-05
          20    1.000000e+00    9.999255e-01    4.998177e-05
          21    9.999980e-01    9.999290e-01    4.772077e-05
          22    1.000000e+00    9.999322e-01    4.566079e-05
          23    1.000000e+00    9.999351e-01    4.377064e-05
          24    1.000000e+00    9.999378e-01    4.203023e-05
          25    1.000000e+00    9.999403e-01    4.042252e-05
