#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.000000e+00    0.000000e+00    0.000000e+00
           2    0.000000e+00    0.000000e+00    0.000000e+00
           3    0.000000e+00    0.000000e+00    0.000000e+00
           4    0.000000e+00    0.000000e+00    0.000000e+00
           5    0.000000e+00    0.000000e+00    0.000000e+00
           6    0.000000e+00    0.000000e+00    0.000000e+00
           7    0.000000e+00    0.000000e+00    0.000000e+00
           8    3.774781e-04    4.718477e-05    4.413731e-05
           9    5.119744e-06    4.251088e-05    3.947986e-05
          10    0.000000e+00    3.825979e-05    3.576001e-05
          11    0.000000e+00    3.478163e-05    3.267781e-05
          12    0.000000e+00    3.188316e-05    3.008293e-05
          13    3.266314e-04    5.455610e-05    3.529347e-05
          14    0.000000e+00    5.065924e-05    3.298694e-05
          15    0.000000e+00    4.728195e-05    3.096021e-05
          16    0.000000e+00    4.432683e-05    2.916589e-05
          17    0.000000e+00    4.171937e-05    2.756656e-05
          18    0.000000e+00    3.940163e-05    2.613234e-05
          19    0.000000e+00    3.732786e-05    2.483910e-05
          20    0.000000e+00    3.546147e-05    2.366716e-05
          21    5.119744e-06    3.401662e-05    2.258421e-05
          22    0.000000e+00    3.247041e-05    2.161052e-05
          23    0.000000e+00    3.105865e-05    2.071699e-05
          24    0.000000e+00    2.976454e-05    1.989416e-05
          25    0.000000e+00    2.857396e-05    1.913399e-05
