    # BLOCK:             PI:          ERROR:
           1         3.08404               0
           2         3.07665      0.00739507
           3         3.08858       0.0126715
           4         3.09761       0.0127209
           5          3.1047       0.0121418
           6         3.10917       0.0108752
           7         3.11218      0.00967151
           8         3.11447      0.00868326
           9         3.11618      0.00784723
          10         3.11846      0.00737963
          11         3.12033      0.00693241
          12         3.12091       0.0063545
          13         3.12172      0.00590071
          14         3.12334      0.00569977
          15         3.12476      0.00549312
          16         3.12622      0.00534193
          17         3.12729      0.00512917
          18         3.12805      0.00489563
          19         3.12896      0.00471902
          20         3.12995       0.0045848
          21         3.13093      0.00447003
          22          3.1317      0.00433185
          23          3.1324      0.00419779
          24         3.13306      0.00407202
          25         3.13366      0.00395164
          26         3.13412      0.00382455
          27         3.13441       0.0036916
          28         3.13464      0.00356498
          29         3.13486      0.00344682
          30         3.13509      0.00333762
          31         3.13524      0.00323192
          32         3.13524      0.00312929
          33         3.13521       0.0030332
          34         3.13523      0.00294272
          35         3.13525      0.00285746
          36         3.13533       0.0027782
          37         3.13542      0.00270365
          38         3.13553      0.00263372
          39         3.13559      0.00256603
          40         3.13566      0.00250202
          41         3.13572      0.00244097
          42         3.13577      0.00238274
          43          3.1358      0.00232679
          44         3.13584      0.00227367
          45         3.13588      0.00222294
          46         3.13592      0.00217442
          47         3.13599      0.00212885
          48         3.13609      0.00208636
          49         3.13617       0.0020451
          50         3.13622      0.00200424
          51         3.13627      0.00196536
          52         3.13631       0.0019275
          53         3.13635      0.00189131
          54         3.13638      0.00185614
          55         3.13638      0.00182208
          56         3.13638      0.00178925
          57         3.13638      0.00175759
          58         3.13638      0.00172703
          59         3.13638      0.00169751
          60         3.13635      0.00166928
          61         3.13629      0.00164266
          62         3.13621      0.00161793
          63         3.13614      0.00159388
          64         3.13606      0.00157086
          65         3.13597      0.00154893
          66          3.1359       0.0015269
          67         3.13583      0.00150536
          68         3.13578      0.00148422
          69         3.13573      0.00146341
          70         3.13568      0.00144309
          71         3.13564      0.00142325
          72         3.13558      0.00140447
          73         3.13552      0.00138647
          74         3.13547      0.00136842
          75         3.13542      0.00135104
          76         3.13536      0.00133456
          77         3.13529      0.00131885
          78         3.13522      0.00130382
          79         3.13516      0.00128867
          80         3.13509      0.00127412
          81         3.13504      0.00125931
          82         3.13498      0.00124539
          83         3.13492       0.0012318
          84         3.13485      0.00121876
          85          3.1348      0.00120568
          86         3.13475      0.00119244
          87          3.1347      0.00117971
          88         3.13466      0.00116714
          89         3.13461      0.00115496
          90         3.13455      0.00114334
          91          3.1345      0.00113187
          92         3.13446      0.00112043
          93         3.13442      0.00110909
          94         3.13437       0.0010981
          95         3.13434      0.00108709
          96         3.13429      0.00107655
          97         3.13427      0.00106573
          98         3.13424      0.00105508
          99         3.13422      0.00104468
         100         3.13419      0.00103448
