    # BLOCK:             PI:          ERROR:
           1         3.06513               0
           2         3.07103      0.00589449
           3         3.05491       0.0164748
           4         3.06788       0.0174349
           5          3.0793       0.0176887
           6          3.0776       0.0145435
           7         3.07895       0.0123662
           8          3.0849       0.0122497
           9         3.08681       0.0109711
          10         3.08654      0.00981681
          11         3.08883       0.0091705
          12         3.08825      0.00839158
          13         3.08522      0.00828963
          14         3.08295      0.00800356
          15          3.0813      0.00763286
          16         3.07951      0.00736009
          17         3.07705      0.00733707
          18         3.07617      0.00697313
          19         3.07582      0.00660536
          20         3.07549        0.006275
          21         3.07561      0.00596996
          22         3.07585      0.00569681
          23         3.07603      0.00544651
          24         3.07656      0.00524174
          25         3.07711      0.00505737
          26         3.07791        0.004925
          27         3.07889      0.00483913
          28         3.08005      0.00480673
          29          3.0811      0.00475411
          30         3.08214       0.0047102
          31         3.08335      0.00471238
          32         3.08442      0.00468781
          33         3.08566      0.00470991
          34          3.0869      0.00473217
          35         3.08783      0.00468806
          36         3.08848      0.00460317
          37         3.08926      0.00454336
          38          3.0901      0.00450112
          39         3.09085      0.00444937
          40          3.0917      0.00441846
          41         3.09245      0.00437483
          42         3.09319      0.00433193
          43         3.09399      0.00430484
          44         3.09488      0.00429862
          45         3.09566      0.00427455
          46          3.0965      0.00426422
          47         3.09724      0.00423846
          48         3.09793      0.00420615
          49          3.0986      0.00417265
          50         3.09929      0.00414609
          51         3.09993      0.00411415
          52         3.10057      0.00408551
          53         3.10116      0.00405047
          54         3.10169      0.00400931
          55         3.10228       0.0039803
          56          3.1028      0.00394286
          57         3.10332       0.0039085
          58         3.10384      0.00387498
          59         3.10433      0.00384041
          60         3.10479      0.00380296
          61         3.10523      0.00376587
          62         3.10563      0.00372669
          63         3.10601      0.00368716
          64         3.10639      0.00364865
          65         3.10679      0.00361387
          66         3.10718      0.00358043
          67         3.10757      0.00354734
          68         3.10794      0.00351462
          69         3.10829       0.0034807
          70          3.1086      0.00344492
          71         3.10892      0.00341117
          72         3.10925       0.0033798
          73         3.10961      0.00335237
          74         3.10991       0.0033203
          75          3.1102      0.00328838
          76         3.11045      0.00325492
          77          3.1107      0.00322198
          78         3.11095      0.00319019
          79         3.11117      0.00315715
          80         3.11141      0.00312678
          81         3.11165      0.00309714
          82         3.11186      0.00306597
          83         3.11209      0.00303775
          84         3.11233      0.00301126
          85          3.1126      0.00298719
          86         3.11282      0.00296058
          87         3.11301      0.00293295
          88         3.11317      0.00290375
          89         3.11336      0.00287721
          90         3.11355      0.00285099
          91         3.11377      0.00282821
          92         3.11401      0.00280764
          93         3.11424       0.0027868
          94         3.11447      0.00276688
          95         3.11471      0.00274761
          96         3.11492      0.00272742
          97         3.11517      0.00271034
          98          3.1154      0.00269264
          99         3.11564      0.00267617
         100         3.11588      0.00265953
