#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    5.231800e-02    5.231800e-02    0.000000e+00
           2    5.819800e-02    5.525800e-02    2.078894e-03
           3    5.743600e-02    5.598400e-02    1.507377e-03
           4    4.564000e-02    5.339800e-02    2.508715e-03
           5    4.664600e-02    5.204760e-02    2.342392e-03
           6    4.660600e-02    5.114067e-02    2.120311e-03
           7    4.777800e-02    5.066029e-02    1.871036e-03
           8    6.094200e-02    5.194550e-02    2.031154e-03
           9    5.480400e-02    5.226311e-02    1.830134e-03
          10    4.361600e-02    5.139840e-02    1.840097e-03
          11    4.372400e-02    5.070073e-02    1.800225e-03
          12    5.120000e-02    5.074233e-02    1.650687e-03
          13    5.627600e-02    5.116800e-02    1.577641e-03
          14    5.865400e-02    5.170271e-02    1.552927e-03
          15    4.539600e-02    5.128227e-02    1.505240e-03
          16    5.735200e-02    5.166163e-02    1.458183e-03
          17    4.962600e-02    5.154188e-02    1.377315e-03
          18    5.860400e-02    5.193422e-02    1.355527e-03
          19    5.301200e-02    5.199095e-02    1.285370e-03
          20    4.549800e-02    5.166630e-02    1.261433e-03
          21    3.901800e-02    5.106400e-02    1.337449e-03
          22    3.426400e-02    5.030036e-02    1.478676e-03
          23    6.136800e-02    5.078157e-02    1.490629e-03
          24    5.533600e-02    5.097133e-02    1.440548e-03
          25    5.592200e-02    5.116936e-02    1.396471e-03
          26    2.273200e-02    5.007562e-02    1.718509e-03
          27    6.507000e-02    5.063096e-02    1.742283e-03
          28    4.242800e-02    5.033800e-02    1.704512e-03
          29    5.055600e-02    5.034552e-02    1.645752e-03
          30    4.872000e-02    5.029133e-02    1.591785e-03
